Planta,NOM_MUN,LAT_DEC,LON_DEC
1,Abasolo,27.181944,-101.426389
2,Acajete,19.10494,-97.952715
3,Acajete,19.10494,-97.952715
4,Acayucan,17.948823,-94.913871
5,Actopan,20.269047,-98.942901
6,Agua Blanca de Iturbide,20.349504,-98.356386
7,Agua Dulce,18.138272,-94.147239
8,Agualeguas,26.310915,-99.539389
9,Alaquines,22.127894,-99.600389
10,Aldama,16.917818,-92.688192
11,Almoloya del Río,19.159386,-99.488842
12,Alpatláhuac,19.119951,-97.093152
13,Altar,30.713339,-111.833572
14,Altotonga,19.766149,-97.245526
15,Álvaro Obregón,19.390806,-99.195413
16,Amacueca,20.010556,-103.596111
17,Amacuzac,18.600002,-99.369514
18,Amatitlán,18.432344,-95.733279
19,Amatlán de Cañas,20.807782,-104.405389
20,Amatlán de los Reyes,18.847578,-96.915484
21,Amaxac de Guerrero,19.350286,-98.169569
22,Amealco de Bonfil,20.186444,-100.144195
23,Amixtlán,20.049437,-97.798917
24,Anáhuac,27.240647,-100.132436
25,Angostura,25.36436,-108.159489
26,Apaseo el Grande,20.545284,-100.688217
27,Apozol,21.470877,-103.09119
28,Aquismón,21.621362,-99.019535
29,Aramberri,24.100586,-99.818067
30,Arizpe,30.336232,-110.166809
31,Armadillo de los Infante,22.243591,-100.654675
32,Arriaga,16.236065,-93.899473
33,Arteaga,25.450621,-100.849623
34,Asientos,22.238317,-102.089275
35,Asunción Cacalotepec,17.035264,-95.956562
36,Asunción Cuyotepeji,17.930901,-97.674353
37,Asunción Ixtaltepec,16.50384,-95.057045
38,Asunción Nochixtlán,17.458936,-97.225199
39,Asunción Tlacolulita,16.300263,-95.726305
40,Atempan,19.8399,-97.459279
41,Atlatlahucan,18.936271,-98.899175
42,Atlequizayan,20.014008,-97.624086
43,Atolinga,21.806949,-103.465583
44,Atotonilco el Alto,20.550556,-102.504167
45,Atotonilco el Grande,20.286878,-98.669024
46,Atoyac,20.010556,-103.516389
47,Atoyatempan,18.822567,-97.91375
48,Atzacan,18.906968,-97.083905
49,Axochiapan,18.502406,-98.754079
50,Axtla de Terrazas,21.436389,-98.875
51,Ayotlán,20.528056,-102.328333
52,Ayotoxco de Guerrero,20.097159,-97.410524
53,Ayotzintepec,17.676709,-96.133271
54,Bacadéhuachi,29.809074,-109.140745
55,Bacanora,28.983929,-109.400396
56,Bacerac,30.355278,-108.929799
57,Banámichi,30.007232,-110.217736
58,Batopilas de Manuel Gómez Morín,27.026652,-107.73971
59,Bavispe,30.480123,-108.940919
60,Boca del Río,19.105439,-96.106651
61,Bokobá,21.00694,-89.179525
62,Buctzotz,21.201897,-88.794462
63,Bustamante,26.534664,-100.502706
64,Bustamante,26.534664,-100.502706
65,Cacahoatán,14.989789,-92.16811
66,Cansahcab,21.158103,-89.102341
67,Capulálpam de Méndez,17.306421,-96.44598
68,Cárdenas,22.000904,-99.642505
69,Carmen,18.637789,-91.83645
70,Castaños,26.785278,-101.430556
71,Caxhuacan,20.063958,-97.606617
72,Chacaltianguis,18.305336,-95.84139
73,Charo,19.747488,-101.046857
74,Chenalhó,16.894277,-92.626148
75,Chiapilla,16.570493,-92.720025
76,Chicoasén,16.967255,-93.105235
77,Chietla,18.519365,-98.578353
78,Chilón,17.105491,-92.271528
79,Chimalhuacán,19.416908,-98.945299
80,China,25.705914,-99.239317
81,Chinampa de Gorostiza,21.359599,-97.735338
82,Chinantla,18.200502,-98.263164
83,Chontla,21.293435,-97.92493
84,Churintzio,20.15096,-102.065921
85,Cihuatlán,19.238333,-104.563056
86,Ciudad del Maíz,22.399846,-99.600574
87,Ciudad Fernández,21.943512,-100.011022
88,Coacoatzintla,19.653106,-96.945141
89,Coapilla,17.130791,-93.159022
90,Coatepec Harinas,18.925711,-99.768519
91,Coatlán del Río,18.744186,-99.434801
92,Cochoapa el Grande,17.192967,-98.45528
93,Cocula,18.235866,-99.66119
94,Coetzala,18.785636,-96.916692
95,Cohuecan,18.783205,-98.720489
96,Coicoyán de las Flores,17.272898,-98.276094
97,Colima,19.242922,-103.728119
98,Colón,20.788326,-100.045431
99,Comala,19.323199,-103.758801
100,Comapa,19.164629,-96.886231
101,Comitán de Domínguez,16.252461,-92.135835
