plant,capacity
1,786707
2,1293150
3,925728
4,64167
5,614273
6,201071
7,1178658
8,901615
9,17538
10,493780
11,693566
12,493488
13,432791
14,319127
15,1117890
16,1054290
17,16480
18,1080537
19,498640
20,1286080
21,210398
22,484907
23,563570
24,767217
25,1052314
26,896371
27,736314
28,1114880
29,384489
30,1178198
31,506425
32,510406
33,884399
34,1231880
35,1379201
36,861384
37,1368722
38,1448493
39,602156
40,984528
41,939687
42,1149436
43,1231834
44,418432
45,1348159
46,1224912
47,764787
48,1221946
49,1022914
50,1193752
51,814827
52,98228
53,1162985
54,700180
55,363739
56,283743
57,458943
58,1202909
59,1288997
60,548082
61,1344276
62,1266792
63,391467
64,1054642
65,473557
66,141986
67,1147471
68,748909
69,1424069
70,456325
71,658583
72,189921
73,1359268
74,491936
75,1066188
76,1081356
77,871883
78,606166
79,1015547
80,719038
81,363789
82,1169159
83,691985
84,969859
85,362863
86,820409
87,1226518
88,697242
89,863295
90,211691
91,93611
92,56427
93,1342713
94,321342
95,1078016
96,862582
97,705756
98,1331971
99,1203085
100,486788
