plant,market,cost
1,1,2
1,2,3.33
1,3,2.78
1,4,4.17
1,5,4.55
1,6,4.55
1,7,2.63
1,8,2.38
1,9,2.63
1,10,2.5
1,11,2.5
1,12,3.85
1,13,2.78
1,14,10
1,15,2.08
1,16,5.56
1,17,3.85
1,18,3.33
1,19,2.17
1,20,2.17
1,21,2.38
1,22,5
1,23,5
1,24,4.17
1,25,3.13
1,26,7.14
1,27,3.57
1,28,2.17
1,29,7.14
1,30,2.78
1,31,4.17
1,32,3.33
1,33,2.78
1,34,2.17
1,35,5.56
1,36,3.57
1,37,4.17
1,38,2
1,39,2.94
1,40,2.08
1,41,2.78
1,42,3.57
1,43,4.55
1,44,3.57
1,45,4.17
1,46,3.33
1,47,4.55
1,48,2.94
1,49,2.78
1,50,3.85
1,51,5.56
1,52,5
1,53,3.13
1,54,3.13
1,55,7.14
1,56,3.57
1,57,5
1,58,5
1,59,2
1,60,3.57
1,61,2.08
1,62,3.13
1,63,5
1,64,3.13
1,65,10
1,66,3.33
1,67,2.5
1,68,2.78
1,69,2.38
1,70,3.13
1,71,10
1,72,3.33
1,73,2.63
1,74,7.14
1,75,2.08
1,76,7.14
1,77,2
1,78,3.85
1,79,6.25
1,80,7.14
1,81,3.33
1,82,3.57
1,83,6.25
1,84,2.78
1,85,5
1,86,4.55
1,87,2.38
1,88,3.13
1,89,4.17
1,90,2.38
1,91,2.27
1,92,10
1,93,4.55
1,94,2.27
1,95,2.08
1,96,5
1,97,7.14
1,98,8.33
1,99,5
1,100,2.38
1,101,2.27
1,102,2.38
1,103,5.56
1,104,2.78
1,105,6.25
1,106,2.27
1,107,2.94
1,108,4.17
1,109,2.38
1,110,3.13
1,111,3.33
1,112,6.25
1,113,7.14
1,114,2.5
1,115,6.25
1,116,4.55
1,117,2.17
1,118,2.38
1,119,6.25
1,120,4.55
1,121,5.56
1,122,8.33
1,123,2.78
1,124,7.14
1,125,10
1,126,2.94
1,127,3.13
1,128,10
1,129,3.33
1,130,6.25
1,131,2.27
1,132,5
1,133,2.38
1,134,2.63
1,135,2.78
1,136,2.5
1,137,2
1,138,7.14
1,139,2.27
1,140,4.55
1,141,3.85
1,142,2.78
1,143,10
1,144,3.33
1,145,7.14
1,146,3.57
1,147,6.25
1,148,10
1,149,2.5
1,150,2
1,151,2.78
1,152,2
1,153,3.13
1,154,2.94
1,155,2.5
1,156,5.56
1,157,2.08
1,158,2.08
1,159,2.17
1,160,2
1,161,5.56
1,162,7.14
1,163,5.56
1,164,5
1,165,8.33
1,166,3.85
1,167,3.13
1,168,8.33
1,169,2.17
1,170,3.13
1,171,8.33
1,172,2.94
1,173,2.94
1,174,10
1,175,3.13
1,176,5
1,177,2.78
1,178,2.94
1,179,2.78
1,180,2.38
1,181,2.38
1,182,10
1,183,3.33
1,184,7.14
1,185,6.25
1,186,2.27
1,187,2.08
1,188,3.13
1,189,2.63
1,190,2.08
1,191,3.85
1,192,2.38
1,193,2.27
1,194,2.78
1,195,4.17
1,196,2.63
1,197,4.55
1,198,5.56
1,199,6.25
1,200,6.25
2,1,2.17
2,2,2.38
2,3,3.33
2,4,2.63
2,5,2.27
2,6,4.17
2,7,2.94
2,8,3.57
2,9,2
2,10,2.5
2,11,8.33
2,12,3.85
2,13,6.25
2,14,2.94
2,15,2.63
2,16,5
2,17,2.5
2,18,2.5
2,19,5
2,20,5
2,21,8.33
2,22,3.57
2,23,4.17
2,24,3.33
2,25,2.38
2,26,10
2,27,2.94
2,28,2
2,29,2.5
2,30,4.55
2,31,7.14
2,32,3.85
2,33,2.17
2,34,6.25
2,35,3.33
2,36,4.17
2,37,2.5
2,38,2.38
2,39,10
2,40,2.27
2,41,2
2,42,5.56
2,43,4.17
2,44,2.08
2,45,4.55
2,46,5
2,47,2.27
2,48,3.85
2,49,2.27
2,50,4.17
2,51,4.17
2,52,10
2,53,2.5
2,54,5
2,55,3.85
2,56,2.94
2,57,10
2,58,4.17
2,59,5.56
2,60,2.63
2,61,3.33
2,62,2.08
2,63,8.33
2,64,2
2,65,4.55
2,66,2.17
2,67,2.38
2,68,2.08
2,69,2.08
2,70,2.38
2,71,2.08
2,72,3.85
2,73,2
2,74,3.85
2,75,3.85
2,76,2.78
2,77,3.33
2,78,2.78
2,79,4.55
2,80,2.5
2,81,8.33
2,82,3.13
2,83,3.85
2,84,2
2,85,4.17
2,86,3.33
2,87,6.25
2,88,2.38
2,89,3.13
2,90,4.55
2,91,2.78
2,92,4.55
2,93,6.25
2,94,2.27
2,95,3.33
2,96,2
2,97,3.85
2,98,5
2,99,7.14
2,100,6.25
2,101,3.57
2,102,8.33
2,103,6.25
2,104,2.27
2,105,2.08
2,106,3.85
2,107,2
2,108,8.33
2,109,2.63
2,110,4.17
2,111,2
2,112,2
2,113,3.13
2,114,5.56
2,115,10
2,116,2.08
2,117,2.08
2,118,3.85
2,119,3.57
2,120,3.85
2,121,8.33
2,122,3.33
2,123,3.57
2,124,6.25
2,125,2.5
2,126,10
2,127,7.14
2,128,7.14
2,129,2.94
2,130,7.14
2,131,10
2,132,2.5
2,133,8.33
2,134,3.33
2,135,3.33
2,136,2.38
2,137,2
2,138,3.33
2,139,2.38
2,140,8.33
2,141,2.94
2,142,5
2,143,3.33
2,144,2.5
2,145,6.25
2,146,4.55
2,147,5
2,148,2.17
2,149,2.38
2,150,2.78
2,151,3.13
2,152,8.33
2,153,5.56
2,154,5
2,155,2.63
2,156,3.33
2,157,3.13
2,158,2.94
2,159,3.85
2,160,6.25
2,161,5
