plant,market,cost
1,1,2.78
1,2,2.78
1,3,4.55
1,4,3.13
1,5,2.94
1,6,2.38
1,7,2.78
1,8,4.17
1,9,2.63
1,10,7.14
1,11,3.85
1,12,3.13
1,13,5
1,14,3.13
1,15,3.13
1,16,2.63
1,17,2.38
1,18,3.57
1,19,2.63
1,20,2.38
1,21,5
1,22,8.33
1,23,3.33
1,24,3.13
1,25,2
1,26,3.13
1,27,10
1,28,6.25
1,29,2.17
1,30,2.5
1,31,2.17
1,32,2.78
1,33,2
1,34,2.08
1,35,2.08
1,36,8.33
1,37,2.94
1,38,2.94
1,39,5
1,40,2.17
1,41,2.78
1,42,3.13
1,43,8.33
1,44,5
1,45,2.78
1,46,2.27
1,47,2.17
1,48,2.27
1,49,2.78
1,50,5.56
1,51,3.13
1,52,2
1,53,2.78
1,54,2.17
1,55,2
1,56,7.14
1,57,2.63
1,58,4.17
1,59,2
1,60,3.33
1,61,7.14
1,62,2.08
1,63,3.33
1,64,2
1,65,2.17
1,66,2.5
1,67,8.33
1,68,10
1,69,2.5
1,70,3.57
1,71,2.78
1,72,4.55
1,73,3.13
1,74,2.78
1,75,2.94
1,76,8.33
1,77,2.27
1,78,2.63
1,79,4.55
1,80,2.5
1,81,10
1,82,8.33
1,83,7.14
1,84,2
1,85,6.25
1,86,2
1,87,2.17
1,88,2.63
1,89,2.08
1,90,2
1,91,2.38
1,92,2.27
1,93,2
1,94,3.33
1,95,2.08
1,96,10
1,97,2.17
1,98,6.25
1,99,2
1,100,2.27
1,101,5
1,102,2.17
1,103,2.63
1,104,3.85
1,105,3.57
1,106,5.56
1,107,2.94
1,108,2.5
1,109,2.17
1,110,2.08
1,111,2.5
1,112,2.94
1,113,2.17
1,114,4.55
1,115,7.14
1,116,8.33
1,117,7.14
1,118,3.13
1,119,5
1,120,2.38
1,121,10
1,122,2.08
1,123,8.33
1,124,2.38
1,125,7.14
1,126,6.25
1,127,2.17
1,128,4.17
1,129,5.56
1,130,5.56
1,131,2.08
1,132,6.25
1,133,2.63
1,134,2.38
1,135,2.08
1,136,7.14
1,137,3.57
1,138,4.17
1,139,10
1,140,6.25
1,141,5
1,142,3.33
1,143,3.13
1,144,2.38
1,145,2.17
1,146,5
1,147,4.17
1,148,2.5
1,149,2.94
1,150,2.94
1,151,2.08
1,152,6.25
1,153,2.27
1,154,8.33
1,155,4.55
1,156,3.13
1,157,5
1,158,2.5
1,159,10
1,160,2.63
1,161,8.33
1,162,3.85
1,163,3.33
1,164,5.56
1,165,4.17
1,166,7.14
1,167,2
1,168,2.27
1,169,3.33
1,170,7.14
1,171,2.5
1,172,4.55
1,173,3.33
1,174,2.94
1,175,2.78
1,176,2.27
1,177,4.55
1,178,2.94
1,179,2.94
1,180,2
1,181,2.63
1,182,6.25
1,183,2
1,184,5
1,185,3.33
1,186,4.55
1,187,4.17
1,188,6.25
1,189,2.63
1,190,8.33
1,191,2.17
1,192,3.13
1,193,5
1,194,3.85
1,195,2
1,196,2.08
1,197,2.63
1,198,4.17
1,199,6.25
1,200,3.13
2,1,4.55
2,2,3.85
2,3,3.57
2,4,5.56
2,5,2.5
2,6,4.55
2,7,2.5
2,8,5.56
2,9,2.63
2,10,4.17
2,11,7.14
2,12,10
2,13,3.85
2,14,2.63
2,15,2.38
2,16,4.55
2,17,2.94
2,18,7.14
2,19,2.27
2,20,5
2,21,2.63
2,22,2.27
2,23,5.56
2,24,7.14
2,25,2.08
2,26,5
2,27,5
2,28,3.33
2,29,2
2,30,2.5
2,31,10
2,32,3.85
2,33,2.38
2,34,4.17
2,35,2.38
2,36,6.25
2,37,2.78
2,38,3.57
2,39,2.27
2,40,7.14
2,41,4.17
2,42,2.78
2,43,4.17
2,44,4.17
2,45,6.25
2,46,10
2,47,5
2,48,2.5
2,49,5
2,50,2.78
2,51,2.38
2,52,2.27
2,53,10
2,54,2.27
2,55,7.14
2,56,2.5
2,57,2.38
2,58,3.13
2,59,4.17
2,60,10
2,61,5
2,62,5
2,63,2.27
2,64,3.33
2,65,5.56
2,66,3.85
2,67,10
2,68,2.78
2,69,4.55
2,70,7.14
2,71,5
2,72,2.63
2,73,5
2,74,7.14
2,75,2.17
2,76,6.25
2,77,2
2,78,8.33
2,79,2.08
2,80,2.27
2,81,8.33
2,82,3.33
2,83,7.14
2,84,10
2,85,7.14
2,86,2
2,87,2.63
2,88,2.27
2,89,2
2,90,2.78
2,91,2
2,92,2.27
2,93,4.55
2,94,4.55
2,95,4.55
2,96,7.14
2,97,2.08
2,98,2.94
2,99,2.17
2,100,2.27
2,101,3.13
2,102,2.38
2,103,2.17
2,104,8.33
2,105,3.57
2,106,2.63
2,107,8.33
2,108,2.38
2,109,3.13
2,110,2.17
2,111,5
2,112,2.08
2,113,2.63
2,114,8.33
2,115,2.27
2,116,3.57
2,117,10
2,118,5
2,119,3.13
2,120,2.63
2,121,3.85
2,122,10
2,123,3.33
2,124,3.13
2,125,8.33
2,126,3.85
2,127,10
2,128,3.33
2,129,4.17
2,130,3.57
2,131,2.27
2,132,3.33
2,133,2.5
2,134,2.17
2,135,10
2,136,5.56
2,137,4.55
2,138,2.38
2,139,2.38
2,140,2.63
2,141,3.57
2,142,6.25
2,143,2.63
2,144,2.08
2,145,2.5
2,146,4.55
2,147,5.56
2,148,2.94
2,149,2
2,150,4.55
2,151,2.27
2,152,6.25
2,153,2
2,154,6.25
2,155,6.25
2,156,2.63
2,157,2.5
2,158,4.17
2,159,3.85
2,160,7.14
2,161,2.27
2,162,4.55
2,163,3.57
2,164,4.55
2,165,6.25
2,166,2.78
2,167,3.13
2,168,10
2,169,8.33
2,170,5.56
2,171,2.38
2,172,4.17
2,173,2.5
2,174,2
2,175,3.57
2,176,3.57
2,177,5.56
2,178,3.57
2,179,3.85
2,180,3.57
2,181,3.85
2,182,10
2,183,2.5
2,184,8.33
2,185,2.63
2,186,2.78
2,187,2.17
2,188,2.78
2,189,4.55
2,190,10
2,191,8.33
2,192,2.94
2,193,2.63
2,194,3.85
2,195,7.14
2,196,3.33
2,197,2
2,198,2.94
2,199,5.56
2,200,2.17
3,1,3.13
3,2,10
3,3,2.63
3,4,4.55
3,5,4.55
3,6,2
3,7,2
3,8,3.85
3,9,7.14
3,10,3.57
3,11,2
3,12,5
3,13,2.08
3,14,2
3,15,2.38
3,16,2.27
3,17,4.17
3,18,2.08
3,19,3.85
3,20,2.5
3,21,3.57
3,22,2.27
3,23,5
3,24,2.27
3,25,2.27
3,26,2
3,27,8.33
3,28,5
3,29,2.78
3,30,7.14
3,31,2.08
3,32,4.17
3,33,4.55
3,34,10
3,35,8.33
3,36,3.57
3,37,5
3,38,6.25
3,39,2.78
3,40,3.13
3,41,8.33
3,42,2.78
3,43,2.08
3,44,5
3,45,3.57
3,46,2
3,47,2.17
3,48,2.27
3,49,10
3,50,2.27
3,51,4.17
3,52,3.57
3,53,2
3,54,2.63
3,55,2.27
3,56,3.57
3,57,2.94
3,58,2.27
3,59,2
3,60,2.94
3,61,3.13
3,62,2.63
3,63,10
3,64,5
3,65,3.85
3,66,4.55
3,67,4.55
3,68,6.25
3,69,7.14
3,70,3.85
3,71,4.55
3,72,4.55
3,73,8.33
3,74,2.5
3,75,2.08
3,76,2
3,77,5
3,78,2.78
3,79,6.25
3,80,3.13
3,81,5.56
3,82,4.55
3,83,5.56
3,84,2.17
3,85,4.55
3,86,5.56
3,87,3.85
3,88,3.33
3,89,2.5
3,90,6.25
3,91,4.17
3,92,2.63
3,93,3.33
3,94,2.08
3,95,3.85
3,96,2.5
3,97,3.57
3,98,4.55
3,99,2.17
3,100,5
3,101,8.33
3,102,5.56
3,103,7.14
3,104,5.56
3,105,2.78
3,106,10
3,107,6.25
3,108,2.17
3,109,2.27
3,110,3.57
3,111,3.33
3,112,10
3,113,2.08
3,114,10
3,115,5.56
3,116,3.13
3,117,2.17
3,118,10
3,119,10
3,120,3.13
3,121,4.17
3,122,8.33
3,123,2.17
3,124,3.13
3,125,2.94
3,126,2
3,127,2.63
3,128,10
3,129,2.94
3,130,10
3,131,4.55
3,132,4.55
3,133,4.55
3,134,10
3,135,3.57
3,136,3.13
3,137,4.17
3,138,3.33
3,139,5
3,140,2.63
3,141,5
3,142,3.33
3,143,10
3,144,2.27
3,145,3.33
3,146,4.55
3,147,2.08
3,148,3.13
3,149,2.63
3,150,2.27
3,151,5.56
3,152,2.63
3,153,3.13
3,154,3.13
3,155,2.63
3,156,5.56
3,157,2.94
3,158,6.25
3,159,4.17
3,160,4.17
3,161,2.63
3,162,2.63
3,163,2.94
3,164,3.85
3,165,6.25
3,166,2.78
3,167,2.63
3,168,7.14
3,169,2.38
3,170,6.25
3,171,2.27
3,172,3.57
3,173,3.13
3,174,2
3,175,2
3,176,2.17
3,177,3.85
