plant,fixed_cost,auxiliary_flag
1,5211265,
2,8527740,
3,9564665,
4,2883697,
5,4685696,
6,12866251,
7,5728160,
8,5017151,
9,7164282,
10,6908121,
11,374849,
12,4136775,
13,6427070,
14,539764,
15,7139359,
16,1874904,
17,8990976,
18,5045127,
19,2670858,
20,12634591,
21,6133388,
22,3298541,
23,7045357,
24,2523092,
25,5059919,
26,5592321,
27,2019695,
28,875315,
29,1021438,
30,2959712,
31,12818092,
32,1269229,
33,5016884,
34,935464,
35,6210516,
36,4905885,
37,1757480,
38,814862,
39,10596557,
40,1073689,
41,6981020,
42,10840404,
43,6712544,
44,5401575,
45,12081404,
46,11132070,
47,5788580,
48,4545479,
49,5671231,
50,776594,
51,4038265,
52,820376,
53,2340721,
54,4714603,
55,9784055,
56,1285085,
57,6754755,
58,6304165,
59,502303,
60,8397668,
61,6087380,
62,7257174,
63,2154885,
64,1638178,
65,6329560,
66,12436914,
67,4382816,
68,10160326,
69,11190017,
70,3022858,
71,1029369,
72,4853071,
73,4420660,
74,1861387,
75,10501414,
76,5439008,
77,720049,
78,4802955,
79,7010980,
80,4310324,
81,8211368,
82,13766895,
83,8101365,
84,6100450,
85,5286438,
86,4495306,
87,8827581,
88,5978667,
89,10187819,
90,6150332,
91,9154431,
92,8590380,
93,7580421,
94,1179280,
95,6580729,
96,4889291,
97,3658415,
98,11750943,
99,1716826,
100,8513941,
