plant,capacity
1,2127223
2,2953365
3,1094997
4,2461218
5,331860
6,2369714
7,2377278
8,3582515
9,572672
10,2695151
11,1921584
12,2521942
13,576246
14,2564708
15,1741196
16,2431883
17,2790391
18,3265086
19,558532
20,1268242
21,2338708
22,2435138
23,2767665
24,1005328
25,1603200
26,1263101
27,2620774
28,3704695
29,1753978
30,247076
31,31555
32,11233
33,3404244
34,2157911
35,103387
36,16791
37,947997
38,3636585
39,1849673
40,152748
41,2091152
42,2477181
43,2794891
44,1304774
45,3515126
46,3269512
47,247682
48,2867622
49,1346858
50,2471121
51,952428
52,1557762
53,2527713
54,1631580
55,998805
56,615222
57,814912
58,3431026
59,3603845
60,3253053
61,43540
62,2969751
63,3140465
64,1271338
65,92310
66,451255
67,584363
68,2393160
69,2862630
70,668352
71,2486267
72,3501877
73,2766025
74,630035
75,2364394
76,1540030
77,2319515
78,1590073
79,2716650
80,2741138
81,2142814
82,652647
83,2614864
84,3121703
85,1121540
86,2294484
87,2880761
88,3170527
89,925379
90,1380139
91,2909530
92,3727798
93,1425419
94,1868435
95,1631161
96,2712468
97,2723610
98,2198841
99,85016
100,2706583
