market,mu,sd
1,8505,1595
2,5079,1298
3,5876,1300
4,7736,799
5,7611,1282
6,9145,1830
7,8477,2109
8,8770,1966
9,7525,1760
10,9557,1675
11,9843,1337
12,6249,977
13,9937,1903
14,7573,2021
15,9705,1799
16,6139,1273
17,5154,1295
18,8423,1608
19,7662,1455
20,6591,862
21,6978,1193
22,6746,1110
23,6387,1351
24,5936,1347
25,9081,1459
26,9353,2285
27,7263,1178
28,6354,996
29,5095,1151
30,8064,1814
31,7886,1229
32,9738,1217
33,9579,2124
34,9059,1804
35,6134,1840
36,8261,1372
37,6299,1734
38,6676,1301
39,8371,1902
40,5696,1692
41,6965,2007
42,9946,2249
43,9131,2412
44,8308,990
45,5023,1420
46,7500,1842
47,7015,2035
48,7082,1386
49,6314,694
50,7770,1958
51,6785,1653
52,9320,1721
53,7372,2136
54,5862,717
55,8485,2090
56,5281,1001
57,5661,1303
58,5329,628
59,8700,1604
60,8964,1070
61,7252,762
62,8461,1070
63,5804,1189
64,5634,1498
65,5741,1250
66,7269,1209
67,9706,2713
68,9735,2049
69,9399,1024
70,8241,1559
71,6367,1751
72,7831,1451
73,5568,1137
74,9315,2039
75,8916,1829
76,8027,1707
77,9401,2008
78,6425,1835
79,5085,888
80,9737,2456
81,5382,1242
82,9261,1485
83,9441,2180
84,6298,1274
85,8782,2411
86,6970,1743
87,6938,922
88,6696,1689
89,6323,692
90,6455,1095
91,6066,1687
92,5039,1206
93,9480,2151
94,8527,1595
95,6645,1163
96,9501,2644
97,6178,939
98,9479,1738
99,6144,1699
100,7642,1454
101,8346,1219
102,9200,1909
103,5351,882
104,5656,758
105,8227,2408
106,7683,1295
107,6041,791
108,7972,2224
109,8098,1961
110,8004,1043
111,9751,1708
112,9668,1764
113,6926,1895
114,7733,1498
115,7680,1850
116,8783,1111
117,8551,896
118,8665,1301
119,9548,1469
120,5549,1570
121,9976,1643
122,9054,2624
123,7783,1850
124,6392,792
125,8205,2077
126,8008,1225
127,6743,860
128,9540,1704
129,6677,1162
130,7605,2033
131,5083,983
132,5840,1114
133,8772,2175
134,8925,1087
135,5065,542
136,5458,1234
137,6496,1786
138,7662,2042
139,8191,2191
140,8771,1312
141,6896,1867
142,8104,2386
143,7170,1764
144,8716,2464
145,6108,1660
146,7804,1918
147,5489,1025
148,9537,2645
149,7275,910
150,5542,1081
151,8843,1359
152,8901,1498
153,7496,1541
154,8989,1046
155,9308,1915
156,9672,2030
157,8213,1233
158,7631,1465
159,8995,1054
160,9413,2487
161,6891,1132
162,9837,2782
163,9273,1842
164,7473,1179
165,7345,1185
166,8052,1773
167,5250,1378
168,8603,869
169,6554,1020
170,5731,787
171,9399,1232
172,9205,2012
173,7526,844
174,6958,1420
175,9129,929
176,6526,881
177,6520,1881
178,5088,604
179,8454,1394
180,9715,2313
181,9051,1325
182,5485,1137
183,8475,1852
184,8703,1343
185,5904,1469
186,8214,1752
187,7597,1791
188,5417,1028
189,9319,1251
190,9214,1722
191,5430,1478
192,5517,1357
193,9551,2698
194,8970,2089
195,9754,2001
196,5939,1388
197,8958,1406
198,9210,2105
199,5047,1090
200,5833,750
201,8210,934
202,5086,871
203,8007,1494
204,7493,1319
205,9942,1502
206,8733,913
207,9067,1142
208,8012,1253
209,6174,679
210,7208,1433
211,7072,1683
212,8148,1602
213,7940,1789
214,7819,2064
215,8698,1925
216,6944,880
217,9795,2395
218,8690,2076
219,6387,1690
220,8866,2654
221,8179,2238
222,7279,1303
223,7795,1578
224,9699,1579
225,6203,928
226,6490,961
227,7221,1253
228,6136,1077
229,6848,1096
230,7580,2181
231,7181,1842
232,8740,1438
233,6026,786
234,7726,1401
235,6395,1017
236,9245,1645
237,9478,1395
238,7128,1960
239,9035,1914
240,6001,1766
241,6753,1685
242,5582,757
243,6393,682
244,9104,1759
245,5710,1322
246,8594,1398
247,9048,1814
248,6356,908
249,6016,1282
250,6353,1085
251,7614,1636
252,9235,935
253,7955,2301
254,8945,2351
255,5106,1222
256,7366,1054
257,5940,1653
258,6417,965
259,5514,618
260,6247,1107
261,9698,1315
262,6672,1375
263,7397,828
264,8655,2363
265,9421,1616
266,9317,1520
267,9133,2248
268,9221,1443
269,7503,1079
270,8832,1115
271,5046,1445
272,8827,2319
273,9657,1030
274,8820,1152
275,5712,1089
276,6399,1823
277,5330,1410
278,7843,857
279,9263,1954
280,8589,958
281,7974,2137
282,6699,1532
283,9212,2000
284,6867,851
285,8490,2194
286,8341,2239
287,8531,1248
288,6360,1252
289,6097,1130
290,8625,1164
291,7798,1925
292,8449,2080
293,5325,1480
294,5810,1548
295,8161,1317
296,8836,1391
297,5868,1061
298,9014,1750
299,5925,1260
300,7945,1995
301,9202,1008
302,5815,983
303,7541,2217
304,7064,1184
305,7610,2085
306,6845,1633
307,7937,1446
308,7404,2033
309,5508,1144
310,5459,1510
311,9014,1781
312,5750,857
313,8847,1072
314,8938,1151
315,7683,823
316,9325,1206
317,9350,2762
318,5522,559
319,6783,1102
320,8372,2504
321,7687,1259
322,9834,1107
323,5866,1023
324,5485,1478
325,7296,1798
326,6007,844
327,6698,784
328,7230,1303
329,7191,2143
330,7715,2305
331,8808,1370
332,7755,1215
333,5314,1419
334,7247,1750
335,6178,1267
336,8021,1335
337,9474,2626
338,5104,735
339,7389,1915
340,9813,2142
341,7521,1719
342,9258,1742
343,9423,1512
344,5444,1059
345,8685,899
346,8157,1378
347,7931,1885
348,5908,757
349,7209,1122
350,5645,765
351,7611,1068
352,9448,1274
353,8807,2215
354,5324,555
355,5173,820
356,5587,1626
357,9924,2048
358,6861,734
359,9835,2760
360,7110,1449
361,8123,1093
362,7408,2152
363,6387,868
364,6927,1138
365,8521,2425
366,7965,1257
367,8509,1563
368,6374,1565
369,7793,866
370,5328,1338
371,7134,1919
372,9393,1721
373,6677,1472
374,9209,1157
375,6849,1513
376,6115,1680
377,9327,1967
378,8896,2339
379,8349,1470
380,7669,1027
381,8936,2248
382,8311,1826
383,5885,1286
384,8468,2316
385,7651,2173
386,7091,1491
387,8949,1554
388,9811,2754
389,8787,1231
390,7602,938
391,6849,1285
392,7152,1944
393,7484,1572
394,6871,1528
395,8215,1864
396,9446,1760
397,6012,1442
398,8490,1541
399,6937,1447
400,8813,1114
401,5682,1468
402,9726,2673
403,5616,1683
404,8180,1475
405,9430,2432
406,5067,757
407,6970,1395
408,5109,1495
409,8493,2115
410,5355,1022
411,8583,1723
412,8156,2240
413,8937,1723
414,5284,828
415,5004,984
416,9096,971
417,8029,1844
418,8333,2338
419,8142,1795
420,8043,1746
421,8300,2018
422,6174,1587
423,6984,2035
424,8623,1756
425,6669,1758
426,7539,1502
427,7186,2083
428,5363,807
429,9076,1200
430,8050,2106
431,8337,1578
432,8095,1796
433,8867,1646
434,5737,1155
435,8299,1012
436,7032,1355
437,5622,694
438,5091,571
439,8829,2465
440,9074,2327
441,8232,1406
442,7262,997
443,7878,2276
444,9556,2311
445,6994,1305
446,9415,1291
447,9377,2789
448,5593,562
449,5651,933
450,5868,664
451,7991,2006
452,7610,980
453,6654,1795
454,6005,1250
455,5131,834
456,9419,2233
457,5114,837
458,9235,1246
459,7334,1211
460,9253,943
461,9409,2682
462,6089,1253
463,5869,665
464,8469,1764
465,9550,2151
466,5664,573
467,9873,1893
468,8631,1440
469,5112,533
470,8304,2105
471,8765,1332
472,9480,1027
473,6029,869
474,9467,1660
475,9255,1737
476,8833,2081
477,7109,1814
478,5725,822
479,7353,1557
480,8636,1516
481,5431,1521
482,8710,2544
483,8039,1507
484,6030,1611
485,5530,843
486,6916,1680
487,9240,1061
488,6487,981
489,9847,2836
490,8501,1817
491,6402,1022
492,9217,1950
493,9707,2675
494,7303,983
495,6196,1402
496,9409,2810
497,7071,887
498,7759,2102
499,8678,1926
500,9051,1660
