customer,mu,sd
1,6973,1381
2,8823,1883
3,5089,844
4,5208,1384
5,5662,1278
6,7295,1067
7,7625,2175
8,7544,941
9,9161,1017
10,6498,1062
11,8755,1949
12,7918,2251
13,7738,1550
14,7627,1012
15,7789,2092
16,7606,1613
17,7364,1503
18,9163,1414
19,5699,984
20,7628,784
21,9538,2337
22,8462,943
23,8968,1793
24,9895,1079
25,8877,1441
26,5158,1231
27,8823,2364
28,8635,1201
29,7536,1669
30,7499,1151
31,5478,677
32,6668,1321
33,9028,1113
34,7869,884
35,8277,1357
36,6364,747
37,8176,850
38,5875,637
39,6275,1382
40,7508,925
41,8951,975
42,7167,1866
43,5865,934
44,9535,2613
45,6542,1040
46,8794,1613
47,7859,883
48,6140,1281
49,6793,1257
50,5252,600
