plant,market,cost
1,1,4.55
1,2,3.13
1,3,2.78
1,4,2.94
1,5,5.56
1,6,2
1,7,2
1,8,8.33
1,9,2.94
1,10,2.63
1,11,5
1,12,5.56
1,13,8.33
1,14,10
1,15,2.38
1,16,5.56
1,17,2
1,18,4.55
1,19,3.33
1,20,2.08
1,21,2.78
1,22,4.17
1,23,2.78
1,24,2.38
1,25,3.13
1,26,3.33
1,27,6.25
1,28,7.14
1,29,2.5
1,30,3.57
1,31,3.85
1,32,2.27
1,33,2.08
1,34,2.5
1,35,7.14
1,36,6.25
1,37,2.78
1,38,2.5
1,39,4.17
1,40,4.17
1,41,5.56
1,42,6.25
1,43,4.55
1,44,6.25
1,45,3.13
1,46,3.85
1,47,3.85
1,48,2
1,49,6.25
1,50,2.38
2,1,2.08
2,2,2.63
2,3,2
2,4,2.08
2,5,2.17
2,6,2
2,7,3.57
2,8,3.13
2,9,4.55
2,10,2.63
2,11,4.17
2,12,5
2,13,2.38
2,14,2.78
2,15,5.56
2,16,2.27
2,17,2.5
2,18,2.38
2,19,2.27
2,20,3.33
2,21,6.25
2,22,2.38
2,23,3.33
2,24,2.63
2,25,2.17
2,26,3.13
2,27,2.78
2,28,2.78
2,29,2.5
2,30,2.38
2,31,4.17
2,32,3.57
2,33,2.27
2,34,2.63
2,35,3.57
2,36,10
2,37,2.08
2,38,3.33
2,39,2
2,40,2.38
2,41,2.17
2,42,2
2,43,3.57
2,44,2.94
2,45,2
2,46,6.25
2,47,4.55
2,48,2
2,49,3.57
2,50,7.14
3,1,4.17
3,2,5
3,3,2
3,4,3.13
3,5,8.33
3,6,3.57
3,7,7.14
3,8,3.57
3,9,6.25
3,10,2.17
3,11,2.78
3,12,2
3,13,3.57
3,14,2.27
3,15,5.56
3,16,2.5
3,17,5.56
3,18,3.13
3,19,3.33
3,20,3.33
3,21,8.33
3,22,5
3,23,10
3,24,7.14
3,25,3.13
3,26,3.85
3,27,2.27
3,28,2.5
3,29,2.27
3,30,4.55
3,31,2.27
3,32,5
3,33,3.33
3,34,3.85
3,35,3.13
3,36,2.17
3,37,2.78
3,38,3.57
3,39,10
3,40,3.13
3,41,5
3,42,2.38
3,43,2.27
3,44,3.13
3,45,8.33
3,46,6.25
3,47,5
3,48,2
