market,mu,sd
1,6775,1429
2,5704,960
3,5027,1254
4,5615,1505
5,6427,1020
6,9144,2282
7,8707,1406
8,8304,2279
9,8450,1990
10,9462,1346
11,5676,1210
12,8114,817
13,5637,1526
14,9438,2732
15,8602,2423
16,8346,1571
17,6514,1591
18,6038,637
19,9165,2665
20,8302,1083
21,6112,669
22,8111,1812
23,5452,718
24,5782,1402
25,6970,2019
26,8765,1512
27,5540,1079
28,7776,1407
29,7000,1527
30,7229,1984
31,5002,664
32,8736,1968
33,6095,629
34,5693,1461
35,5776,889
36,6611,976
37,9441,1524
38,8554,2377
39,7347,1865
40,5662,653
41,6535,890
42,9385,1166
43,9372,1456
44,7493,759
45,9765,2743
46,8160,827
47,6791,1657
48,8304,2301
49,7651,1827
50,7024,1292
