plant,market,cost
1,1,4.55
1,2,2.5
1,3,2.38
1,4,3.85
1,5,4.55
1,6,3.85
1,7,2.17
1,8,6.25
1,9,4.55
1,10,2.08
1,11,3.85
1,12,4.55
1,13,2.38
1,14,3.85
1,15,4.55
1,16,2.94
1,17,3.33
1,18,8.33
1,19,2.94
1,20,3.13
1,21,2.38
1,22,2.27
1,23,3.33
1,24,3.85
1,25,4.55
1,26,10
1,27,2.63
1,28,2.08
1,29,2.94
1,30,2.63
1,31,3.57
1,32,2.38
1,33,2.08
1,34,2.78
1,35,2.38
1,36,8.33
1,37,2.08
1,38,7.14
1,39,7.14
1,40,2
1,41,2.17
1,42,4.55
1,43,6.25
1,44,6.25
1,45,2.78
1,46,2.17
1,47,8.33
1,48,2.63
1,49,2.08
1,50,4.17
2,1,4.17
2,2,3.57
2,3,2.27
2,4,2.5
2,5,2.78
2,6,3.85
2,7,2.63
2,8,3.33
2,9,5.56
2,10,4.17
2,11,5
2,12,3.57
2,13,5
2,14,10
2,15,3.57
2,16,2.17
2,17,6.25
2,18,3.33
2,19,4.17
2,20,2.78
2,21,3.57
2,22,2
2,23,2.5
2,24,3.13
2,25,2.78
2,26,2.17
2,27,2.63
2,28,3.85
2,29,2.17
2,30,6.25
2,31,2.17
2,32,10
2,33,7.14
2,34,7.14
2,35,2.27
2,36,2.27
2,37,2.08
2,38,3.33
2,39,2.78
2,40,2.17
2,41,2.94
2,42,2.27
2,43,2.63
2,44,2.78
2,45,2.94
2,46,5.56
2,47,4.17
2,48,2.17
2,49,2.5
2,50,2
3,1,5.56
3,2,2.78
3,3,2.63
3,4,7.14
3,5,2.5
3,6,2.38
3,7,7.14
3,8,2.78
3,9,7.14
3,10,10
3,11,2.94
3,12,2.63
3,13,3.57
3,14,8.33
3,15,3.33
3,16,3.85
3,17,2.27
3,18,6.25
3,19,2.5
3,20,3.33
3,21,2.38
3,22,4.55
3,23,3.33
3,24,5.56
3,25,10
3,26,10
3,27,2.17
3,28,5.56
3,29,7.14
3,30,3.57
3,31,5.56
3,32,2.5
3,33,6.25
3,34,3.33
3,35,2.5
3,36,3.13
3,37,2.17
3,38,8.33
3,39,10
3,40,3.57
3,41,4.17
3,42,3.57
3,43,2.38
3,44,3.33
3,45,3.13
3,46,3.85
3,47,8.33
3,48,7.14
3,49,3.57
3,50,7.14
4,1,6.25
4,2,4.17
4,3,7.14
4,4,3.57
4,5,5
4,6,2
4,7,3.57
4,8,6.25
4,9,2.78
4,10,3.13
4,11,2.38
4,12,8.33
4,13,10
4,14,5
4,15,2
4,16,5.56
4,17,7.14
4,18,2.94
4,19,6.25
4,20,5
4,21,2.94
4,22,3.85
4,23,7.14
4,24,2.78
4,25,3.33
4,26,8.33
4,27,2
4,28,3.85
4,29,3.57
4,30,3.85
4,31,2.63
4,32,5
4,33,4.55
4,34,6.25
4,35,4.17
4,36,8.33
4,37,3.33
4,38,3.85
4,39,7.14
4,40,3.13
4,41,8.33
4,42,2.94
4,43,2.08
4,44,3.13
4,45,4.17
4,46,3.13
4,47,5.56
4,48,2.94
4,49,4.17
4,50,5.56
5,1,4.55
5,2,3.33
5,3,2.38
5,4,7.14
5,5,3.33
5,6,2.5
5,7,3.57
5,8,7.14
5,9,2.08
5,10,6.25
5,11,6.25
5,12,3.85
5,13,2.27
5,14,3.85
5,15,3.13
5,16,4.55
5,17,6.25
5,18,2.94
5,19,3.57
5,20,4.55
5,21,5.56
5,22,7.14
5,23,3.33
5,24,2.78
5,25,2.08
5,26,7.14
5,27,2.17
5,28,2.27
5,29,5
5,30,10
5,31,4.55
5,32,6.25
5,33,7.14
5,34,2.27
5,35,2.38
5,36,2.5
5,37,2.78
5,38,4.55
5,39,2.63
5,40,2.78
5,41,4.55
5,42,2.78
5,43,2.5
5,44,4.17
5,45,3.13
5,46,2.63
5,47,3.33
5,48,3.13
5,49,5.56
5,50,7.14
6,1,3.13
6,2,3.33
6,3,5
6,4,2.27
6,5,2
6,6,2
6,7,8.33
6,8,3.13
6,9,6.25
6,10,3.57
6,11,6.25
6,12,2.27
6,13,8.33
6,14,6.25
6,15,2.63
6,16,10
6,17,2.5
6,18,2.38
6,19,3.57
6,20,3.13
6,21,3.13
6,22,2.38
6,23,5
6,24,2.27
6,25,5.56
6,26,6.25
6,27,4.55
6,28,3.57
6,29,2.5
6,30,10
6,31,2.63
6,32,2.5
6,33,3.13
6,34,3.33
6,35,3.33
6,36,7.14
6,37,2.08
6,38,2.38
6,39,2.38
6,40,4.55
6,41,2
6,42,3.13
6,43,2.63
6,44,2.94
6,45,2.27
6,46,2.94
6,47,10
6,48,4.55
6,49,2.63
6,50,10
7,1,2.94
7,2,5
7,3,2.63
7,4,2.63
7,5,2.08
7,6,3.85
7,7,5
7,8,2.5
7,9,2.27
7,10,2.38
7,11,3.57
7,12,4.55
7,13,5.56
7,14,5.56
7,15,2.78
7,16,10
7,17,4.17
7,18,3.33
7,19,6.25
7,20,3.85
7,21,5.56
7,22,2.63
7,23,2.63
7,24,5.56
7,25,2.17
7,26,3.85
7,27,8.33
7,28,4.17
7,29,6.25
7,30,6.25
7,31,2.5
7,32,2.78
7,33,2.17
7,34,7.14
7,35,6.25
7,36,4.55
7,37,2
7,38,2.78
7,39,6.25
7,40,2.63
7,41,2.17
7,42,2.78
7,43,3.13
7,44,3.33
7,45,2.78
7,46,10
7,47,2.27
7,48,2.63
7,49,10
7,50,2.27
8,1,4.55
8,2,10
8,3,2.27
8,4,7.14
8,5,5.56
8,6,6.25
8,7,2.78
8,8,4.17
8,9,7.14
8,10,3.13
8,11,7.14
8,12,7.14
8,13,2.17
8,14,7.14
8,15,3.57
8,16,7.14
8,17,2.27
8,18,4.55
8,19,2.63
8,20,2.38
8,21,2.27
8,22,2
8,23,8.33
8,24,3.85
8,25,6.25
8,26,3.85
8,27,2.27
8,28,2.63
8,29,10
8,30,3.33
8,31,2.17
8,32,2.5
8,33,2.17
8,34,7.14
8,35,2.63
8,36,2.94
8,37,4.55
8,38,2.08
8,39,3.57
8,40,3.33
8,41,3.13
8,42,5.56
8,43,4.55
8,44,2.94
8,45,2.08
8,46,5.56
8,47,2.17
8,48,2.63
8,49,2
8,50,2.08
9,1,10
9,2,8.33
9,3,2.38
9,4,2.94
9,5,2
9,6,3.13
9,7,2.27
9,8,2.63
9,9,2.63
9,10,4.17
9,11,3.33
9,12,2.38
9,13,2.38
9,14,2
9,15,2.5
9,16,10
9,17,5
9,18,2
9,19,6.25
9,20,6.25
9,21,3.57
9,22,8.33
9,23,3.57
9,24,5.56
9,25,4.17
9,26,5.56
9,27,2.17
9,28,3.33
9,29,4.17
9,30,2.78
9,31,4.17
9,32,2.63
9,33,6.25
9,34,5
9,35,8.33
9,36,2.63
9,37,3.57
9,38,2.27
9,39,3.33
9,40,8.33
9,41,5.56
9,42,3.57
9,43,7.14
9,44,3.85
9,45,4.17
9,46,4.55
9,47,3.85
9,48,5
9,49,3.57
9,50,2.94
10,1,8.33
10,2,2
10,3,2.38
10,4,7.14
10,5,10
10,6,2.08
10,7,2.78
10,8,3.57
10,9,2.08
10,10,2.27
10,11,10
10,12,5.56
10,13,6.25
10,14,2
10,15,3.57
10,16,2
10,17,2.08
10,18,3.33
10,19,2.94
10,20,2.08
10,21,3.57
10,22,2.17
10,23,4.17
10,24,4.17
10,25,5.56
10,26,2.94
10,27,2.5
10,28,3.85
10,29,2.78
10,30,5.56
10,31,4.17
10,32,2.38
10,33,8.33
10,34,10
10,35,5.56
10,36,10
10,37,2
10,38,2
10,39,3.33
10,40,2.17
10,41,3.33
10,42,3.85
10,43,2.27
10,44,2
10,45,2.63
10,46,3.13
10,47,2.08
10,48,6.25
10,49,2.38
10,50,2.17
11,1,4.55
11,2,2.5
11,3,2.63
11,4,3.85
11,5,2.63
11,6,2.5
11,7,3.85
11,8,7.14
11,9,2.38
11,10,2.5
11,11,2.94
11,12,4.55
11,13,3.85
11,14,2.38
11,15,5
11,16,3.57
11,17,4.17
11,18,6.25
11,19,3.85
11,20,6.25
11,21,2.17
11,22,2.5
11,23,3.13
11,24,2.78
11,25,3.85
11,26,3.13
11,27,2.5
11,28,3.57
11,29,4.55
11,30,2.5
11,31,7.14
11,32,2.63
11,33,7.14
11,34,2.94
11,35,3.33
11,36,7.14
11,37,4.55
11,38,3.13
11,39,2.27
11,40,10
11,41,2.08
11,42,3.85
11,43,2.38
11,44,4.55
11,45,2.94
11,46,7.14
11,47,2.17
11,48,2.17
11,49,5
11,50,3.57
12,1,5.56
12,2,7.14
12,3,8.33
12,4,2
12,5,2.78
12,6,2.63
12,7,3.33
12,8,2.78
12,9,2.63
12,10,8.33
12,11,2.08
12,12,3.33
12,13,5.56
12,14,5.56
12,15,7.14
12,16,2.78
12,17,4.17
12,18,5.56
12,19,10
12,20,3.57
12,21,5.56
12,22,5.56
12,23,2.17
12,24,4.55
12,25,7.14
12,26,2
12,27,5.56
12,28,2.17
12,29,3.33
12,30,2
12,31,3.57
12,32,2.78
12,33,2.63
12,34,6.25
12,35,10
12,36,3.85
12,37,3.33
12,38,2.27
12,39,4.55
12,40,2.63
12,41,6.25
12,42,3.85
12,43,5
12,44,2.08
12,45,7.14
12,46,8.33
12,47,4.17
12,48,4.17
12,49,10
12,50,4.17
13,1,4.55
13,2,3.13
13,3,2.27
13,4,2.17
13,5,2
13,6,2.63
13,7,2.17
13,8,4.17
13,9,6.25
13,10,2.38
13,11,3.33
13,12,6.25
13,13,2.63
13,14,10
13,15,4.55
13,16,3.57
13,17,2.78
13,18,2
13,19,2.78
13,20,2.94
13,21,4.55
13,22,2.17
13,23,3.85
13,24,2.78
13,25,3.33
13,26,3.33
13,27,2.38
13,28,2.78
13,29,2.38
13,30,2.63
13,31,2
13,32,3.13
13,33,3.13
13,34,2
13,35,3.33
13,36,3.57
13,37,5
13,38,2.17
13,39,3.85
13,40,2.27
13,41,10
13,42,6.25
13,43,2.38
13,44,2.17
13,45,2.38
13,46,6.25
13,47,3.85
13,48,2.27
13,49,6.25
13,50,4.17
14,1,2.94
14,2,3.13
14,3,4.55
14,4,2.78
14,5,5.56
14,6,2.38
14,7,2.38
14,8,4.55
14,9,2.08
14,10,2.63
14,11,2.63
14,12,2.5
14,13,2.63
14,14,2.5
14,15,2.94
14,16,2.78
14,17,6.25
14,18,2.38
14,19,3.13
14,20,2.27
14,21,3.33
14,22,3.57
14,23,2.38
14,24,3.85
14,25,8.33
14,26,8.33
14,27,2.94
14,28,4.55
14,29,10
14,30,3.57
14,31,10
14,32,4.55
14,33,3.13
14,34,2.08
14,35,4.55
14,36,3.33
14,37,2.38
14,38,8.33
14,39,6.25
14,40,2.38
14,41,2.17
14,42,2.5
14,43,2.63
14,44,5
14,45,2.17
14,46,2
14,47,2.17
14,48,4.55
14,49,3.85
14,50,5
15,1,2.38
15,2,5
15,3,2.17
15,4,3.13
15,5,5.56
15,6,3.85
15,7,4.17
15,8,3.57
15,9,7.14
15,10,4.17
15,11,8.33
15,12,10
15,13,7.14
15,14,2.17
15,15,3.13
15,16,2.78
15,17,2.5
15,18,2.08
15,19,2.5
15,20,2.17
15,21,2
15,22,4.55
15,23,2.27
15,24,2.78
15,25,2.63
15,26,2.5
15,27,2.38
15,28,5.56
15,29,2.38
15,30,6.25
15,31,7.14
15,32,2.94
15,33,5.56
15,34,2.17
15,35,2.17
15,36,7.14
15,37,2.94
15,38,3.57
15,39,6.25
15,40,3.57
15,41,2
15,42,2
15,43,2.78
15,44,2.17
15,45,5
15,46,2.63
15,47,4.17
15,48,5.56
15,49,3.13
15,50,2.94
16,1,2.08
16,2,10
16,3,2.17
16,4,5
16,5,2.08
16,6,10
16,7,10
16,8,3.13
16,9,10
16,10,6.25
16,11,3.85
16,12,6.25
16,13,2.78
16,14,5
16,15,3.57
16,16,7.14
16,17,3.57
16,18,6.25
16,19,6.25
16,20,8.33
16,21,2.5
16,22,5.56
16,23,2.17
16,24,2.17
16,25,2.94
16,26,5.56
16,27,5.56
16,28,8.33
16,29,4.55
16,30,4.55
16,31,4.17
16,32,10
16,33,4.55
16,34,5.56
16,35,8.33
16,36,3.57
16,37,2.94
16,38,2.5
16,39,2.17
16,40,5
16,41,10
16,42,3.57
16,43,3.13
16,44,6.25
16,45,2.08
16,46,2.38
16,47,3.13
16,48,2.27
16,49,3.33
16,50,10
17,1,3.13
17,2,5
17,3,2.78
17,4,4.55
17,5,8.33
17,6,2.17
17,7,2.63
17,8,2.17
17,9,8.33
17,10,2.27
17,11,3.57
17,12,3.85
17,13,2.17
17,14,3.85
17,15,3.13
17,16,2.17
17,17,10
17,18,4.55
17,19,10
17,20,2.27
17,21,5
17,22,4.17
17,23,3.33
17,24,3.57
17,25,5
17,26,3.33
17,27,2.94
17,28,3.13
17,29,2.17
17,30,5
17,31,2
17,32,2.17
17,33,2.17
17,34,7.14
17,35,2.38
17,36,3.57
17,37,4.17
17,38,2.17
17,39,5.56
17,40,10
17,41,7.14
17,42,4.17
17,43,3.57
17,44,3.57
17,45,7.14
17,46,3.85
17,47,2
17,48,3.85
17,49,2.78
17,50,5.56
18,1,3.13
18,2,7.14
18,3,3.13
18,4,6.25
18,5,4.17
18,6,4.17
18,7,3.57
18,8,8.33
18,9,2.17
18,10,2.5
18,11,10
18,12,3.33
18,13,2
18,14,3.33
18,15,5
18,16,8.33
18,17,3.33
18,18,2.94
18,19,5
18,20,2
18,21,6.25
18,22,3.13
18,23,2.63
18,24,3.85
18,25,2.27
18,26,3.13
18,27,2.17
18,28,2.5
18,29,2.78
18,30,7.14
18,31,2.17
18,32,2.17
18,33,4.55
18,34,3.33
18,35,6.25
18,36,2.63
18,37,2
18,38,3.85
18,39,2
18,40,3.85
18,41,6.25
18,42,3.13
18,43,4.17
18,44,2.38
18,45,4.55
18,46,8.33
18,47,3.33
18,48,4.17
18,49,2
18,50,2.78
19,1,8.33
19,2,4.55
19,3,3.85
19,4,7.14
19,5,8.33
19,6,3.85
19,7,2.5
19,8,2
19,9,2.63
19,10,8.33
19,11,2.38
19,12,3.13
19,13,6.25
19,14,4.17
19,15,3.33
19,16,2
19,17,2.17
19,18,5
19,19,4.55
19,20,3.13
19,21,2
19,22,6.25
19,23,2.5
19,24,2.94
19,25,2.27
19,26,2.94
19,27,2.63
19,28,2.63
19,29,4.17
19,30,3.13
19,31,6.25
19,32,2.5
19,33,4.55
19,34,4.17
19,35,2.17
19,36,4.17
19,37,3.13
19,38,2.38
19,39,5.56
19,40,2.38
19,41,7.14
19,42,2.17
19,43,4.17
19,44,8.33
19,45,6.25
19,46,2.17
19,47,4.17
19,48,5
19,49,2.78
19,50,8.33
20,1,5
20,2,4.55
20,3,2.27
20,4,4.55
20,5,3.57
20,6,6.25
20,7,2.38
20,8,4.55
20,9,2.78
20,10,2.17
20,11,2.17
20,12,2.94
20,13,2
20,14,3.33
20,15,5.56
20,16,2.08
20,17,5.56
20,18,5
20,19,2.5
20,20,6.25
20,21,2.17
20,22,3.85
20,23,3.85
20,24,10
20,25,3.33
20,26,2.5
20,27,2.78
20,28,6.25
20,29,2.38
20,30,3.85
20,31,2.38
20,32,2.08
20,33,2.5
20,34,7.14
20,35,3.13
20,36,3.13
20,37,8.33
20,38,2.78
20,39,2.94
20,40,3.57
20,41,3.33
20,42,3.57
20,43,2.5
20,44,2.38
20,45,5
20,46,2.78
20,47,5.56
20,48,2.38
20,49,2.94
20,50,2.08
