market,mu,sd
1,8352,948
2,8284,2053
3,5338,842
4,9821,1980
5,8383,1619
6,8254,1941
7,9541,1751
8,7133,1191
9,5837,1129
10,8521,1201
11,8855,1261
12,8370,1664
13,8963,1310
14,8137,1054
15,6522,1443
16,9321,2162
17,9146,2298
18,8146,2163
19,6574,865
20,5378,1552
21,5851,1173
22,8586,1969
23,5033,621
24,9274,1081
25,7464,1678
26,9942,1861
27,9546,1028
28,9114,2264
29,8671,1926
30,7222,1402
31,9975,2297
32,6709,1416
33,6507,1512
34,5713,591
35,6242,1279
36,7959,1292
37,6627,1706
38,5993,881
39,6296,1666
40,8107,2050
41,9629,1143
42,5352,781
43,5345,708
44,7161,948
45,9780,1016
46,8693,2534
47,9948,1554
48,7144,1423
49,9831,1645
50,7337,797
