plant,market,cost
1,1,2.08
1,2,2.94
1,3,2.94
1,4,7.14
1,5,2.63
1,6,4.17
1,7,3.33
1,8,2.5
1,9,4.55
1,10,2
1,11,2.08
1,12,2.78
1,13,4.17
1,14,2.27
1,15,2.94
1,16,2.94
1,17,3.33
1,18,2.78
1,19,2.27
1,20,6.25
1,21,6.25
1,22,2.08
1,23,8.33
1,24,2.63
1,25,2.94
1,26,2.78
1,27,2
1,28,2.63
1,29,4.55
1,30,2
1,31,4.17
1,32,2.78
1,33,2.17
1,34,3.85
1,35,4.55
1,36,3.13
1,37,4.17
1,38,3.13
1,39,2.08
1,40,3.13
1,41,7.14
1,42,8.33
1,43,8.33
1,44,2.63
1,45,2.63
1,46,2.08
1,47,5
1,48,3.57
1,49,2.94
1,50,2.94
2,1,6.25
2,2,2.94
2,3,3.57
2,4,3.13
2,5,5
2,6,2.38
2,7,5.56
2,8,3.33
2,9,2.63
2,10,2.17
2,11,2.08
2,12,7.14
2,13,6.25
2,14,2.17
2,15,2.08
2,16,2.08
2,17,3.33
2,18,10
2,19,2.17
2,20,3.33
2,21,3.85
2,22,3.13
2,23,3.85
2,24,5.56
2,25,7.14
2,26,2.63
2,27,2.78
2,28,4.17
2,29,3.33
2,30,10
2,31,10
2,32,2.94
2,33,6.25
2,34,4.55
2,35,2.63
2,36,8.33
2,37,7.14
2,38,2.38
2,39,2.17
2,40,2.63
2,41,2.38
2,42,2.63
2,43,5
2,44,4.17
2,45,5
2,46,2.78
2,47,5.56
2,48,2.5
2,49,2.94
2,50,6.25
3,1,2.78
3,2,8.33
3,3,3.33
3,4,2.17
3,5,10
3,6,4.17
3,7,10
3,8,10
3,9,3.13
3,10,5
3,11,2.08
3,12,2.17
3,13,2.63
3,14,5.56
3,15,2.94
3,16,2.78
3,17,2.78
3,18,2.38
3,19,5
3,20,2.5
3,21,2.63
3,22,7.14
3,23,2.78
3,24,3.85
3,25,5
3,26,2.27
3,27,2.63
3,28,4.55
3,29,10
3,30,6.25
3,31,5
3,32,2.94
3,33,5.56
3,34,2.27
3,35,4.17
3,36,3.85
3,37,2.38
3,38,4.17
3,39,2.08
3,40,2.08
3,41,10
3,42,2.17
3,43,2.5
3,44,2.78
3,45,3.57
3,46,2.17
3,47,7.14
3,48,2.27
3,49,6.25
3,50,2.17
4,1,2.08
4,2,2.63
4,3,3.33
4,4,5.56
4,5,4.55
4,6,6.25
4,7,3.85
4,8,2.94
4,9,2.27
4,10,10
4,11,2.27
4,12,2.78
4,13,7.14
4,14,2.27
4,15,2.63
4,16,3.57
4,17,8.33
4,18,8.33
4,19,3.57
4,20,3.85
4,21,5.56
4,22,2.78
4,23,3.57
4,24,5.56
4,25,5
4,26,2.94
4,27,4.17
4,28,2.38
4,29,2.5
4,30,2.5
4,31,2.5
4,32,8.33
4,33,5.56
4,34,10
4,35,3.33
4,36,4.17
4,37,2.78
4,38,8.33
4,39,2.38
4,40,2.08
4,41,2.27
4,42,3.85
4,43,2.38
4,44,2.27
4,45,10
4,46,3.57
4,47,2.5
4,48,3.85
4,49,4.17
4,50,3.33
5,1,5
5,2,8.33
5,3,2.94
5,4,10
5,5,7.14
5,6,3.33
5,7,2.17
5,8,2.63
5,9,4.17
5,10,2
5,11,6.25
5,12,3.33
5,13,5.56
5,14,4.55
5,15,2.08
5,16,3.85
5,17,2.94
5,18,2.27
5,19,3.33
5,20,2.94
5,21,2.78
5,22,2
5,23,7.14
5,24,4.55
5,25,5
5,26,3.85
5,27,10
5,28,5
5,29,6.25
5,30,2.17
5,31,4.55
5,32,2.17
5,33,2.94
5,34,2.08
5,35,2.63
5,36,8.33
5,37,2.63
5,38,4.17
5,39,2
5,40,6.25
5,41,5.56
5,42,2.63
5,43,3.85
5,44,7.14
5,45,5
5,46,5.56
5,47,5
5,48,6.25
5,49,2.5
5,50,2.08
6,1,2.63
6,2,2.38
6,3,2.5
6,4,2.94
6,5,2.78
6,6,8.33
6,7,7.14
6,8,3.57
6,9,3.85
6,10,10
6,11,7.14
6,12,2.08
6,13,2.94
6,14,2.17
6,15,2.08
6,16,2
6,17,7.14
6,18,2.08
6,19,4.55
6,20,3.85
6,21,2.5
6,22,2.78
6,23,6.25
6,24,5
6,25,5.56
6,26,4.55
6,27,3.57
6,28,2.63
6,29,2.38
6,30,4.17
6,31,2.5
6,32,10
6,33,5
6,34,5
6,35,2.38
6,36,2.63
6,37,2.63
6,38,6.25
6,39,5.56
6,40,2.5
6,41,3.33
6,42,6.25
6,43,5
6,44,6.25
6,45,3.57
6,46,2.78
6,47,2.5
6,48,2.08
6,49,2.17
6,50,10
7,1,7.14
7,2,2.63
7,3,3.33
7,4,2.94
7,5,2.94
7,6,2.27
7,7,2.78
7,8,3.85
7,9,2.78
7,10,2
7,11,6.25
7,12,2.38
7,13,5.56
7,14,3.13
7,15,2.63
7,16,5
7,17,8.33
7,18,3.13
7,19,2.27
7,20,2.27
7,21,5.56
7,22,5.56
7,23,3.33
7,24,2.78
7,25,2.17
7,26,8.33
7,27,2.78
7,28,3.57
7,29,6.25
7,30,3.57
7,31,3.57
7,32,6.25
7,33,10
7,34,3.85
7,35,6.25
7,36,3.85
7,37,3.57
7,38,2.63
7,39,10
7,40,6.25
7,41,2
7,42,5
7,43,2.27
7,44,6.25
7,45,2.08
7,46,3.13
7,47,7.14
7,48,4.17
7,49,7.14
7,50,3.85
8,1,7.14
8,2,2
8,3,3.13
8,4,2.5
8,5,2.78
8,6,7.14
8,7,3.13
8,8,2.38
8,9,2.27
8,10,5
8,11,8.33
8,12,3.33
8,13,3.57
8,14,2.94
8,15,4.55
8,16,4.55
8,17,2.63
8,18,2.5
8,19,4.17
8,20,3.33
8,21,2.78
8,22,4.17
8,23,2.94
8,24,4.55
8,25,2.94
8,26,2.08
8,27,5.56
8,28,2.78
8,29,10
8,30,2.08
8,31,2.78
8,32,2.17
8,33,2.17
8,34,3.85
8,35,2
8,36,3.33
8,37,7.14
8,38,2.27
8,39,7.14
8,40,10
8,41,3.33
8,42,6.25
8,43,2.5
8,44,7.14
8,45,2.38
8,46,2.5
8,47,2.17
8,48,3.33
8,49,3.57
8,50,2.78
9,1,4.55
9,2,3.85
9,3,2.27
9,4,5
9,5,3.57
9,6,8.33
9,7,3.85
9,8,2.17
9,9,6.25
9,10,5.56
9,11,6.25
9,12,8.33
9,13,2.78
9,14,2.27
9,15,10
9,16,5
9,17,2.27
9,18,2.08
9,19,2.27
9,20,3.85
9,21,2
9,22,6.25
9,23,2.27
9,24,2.17
9,25,3.13
9,26,2
9,27,3.85
9,28,4.55
9,29,6.25
9,30,4.17
9,31,4.55
9,32,8.33
9,33,2.94
9,34,4.17
9,35,2.94
9,36,2.94
9,37,2.27
9,38,2.63
9,39,4.17
9,40,4.55
9,41,5.56
9,42,2.27
9,43,2.27
9,44,4.55
9,45,2.27
9,46,2.78
9,47,3.57
9,48,2.08
9,49,2.5
9,50,3.85
10,1,2.08
10,2,8.33
10,3,2.5
10,4,3.85
10,5,3.13
10,6,2.63
10,7,3.85
10,8,2.17
10,9,2.63
10,10,2.27
10,11,8.33
10,12,3.85
10,13,3.57
10,14,2.63
10,15,2.17
10,16,4.17
10,17,2
10,18,2.94
10,19,2.38
10,20,5
10,21,6.25
10,22,2.63
10,23,2.38
10,24,3.85
10,25,2.27
10,26,5
10,27,2
10,28,2.94
10,29,3.85
10,30,5
10,31,10
10,32,2.17
10,33,2.94
10,34,3.85
10,35,7.14
10,36,2.38
10,37,2.94
10,38,6.25
10,39,3.13
10,40,2.94
10,41,2.27
10,42,2.38
10,43,2.94
10,44,2.63
10,45,5
10,46,2.78
10,47,4.17
10,48,3.85
10,49,4.17
10,50,2
11,1,2.27
11,2,6.25
11,3,4.17
11,4,8.33
11,5,2.78
11,6,3.57
11,7,8.33
11,8,2.17
11,9,2.78
11,10,4.55
11,11,3.85
11,12,6.25
11,13,8.33
11,14,2
11,15,5.56
11,16,5
11,17,3.13
11,18,10
11,19,2.63
11,20,5.56
11,21,2.08
11,22,3.57
11,23,2.5
11,24,5
11,25,4.17
11,26,3.13
11,27,3.13
11,28,2.08
11,29,8.33
11,30,2.63
11,31,3.33
11,32,2
11,33,4.55
11,34,3.33
11,35,2.38
11,36,2.17
11,37,10
11,38,7.14
11,39,6.25
11,40,2.17
11,41,2.08
11,42,2.27
11,43,5.56
11,44,4.17
11,45,2.08
11,46,2.5
11,47,3.85
11,48,7.14
11,49,2.27
11,50,7.14
12,1,2.63
12,2,2.5
12,3,2.63
12,4,2.08
12,5,7.14
12,6,6.25
12,7,2.08
12,8,3.85
12,9,10
12,10,2.78
12,11,2.17
12,12,2.38
12,13,4.17
12,14,2.94
12,15,8.33
12,16,3.13
12,17,10
12,18,2.17
12,19,5
12,20,2.27
12,21,2.17
12,22,10
12,23,2
12,24,7.14
12,25,5.56
12,26,4.17
12,27,2.63
12,28,3.13
12,29,2.17
12,30,2.63
12,31,7.14
12,32,8.33
12,33,10
12,34,3.13
12,35,8.33
12,36,2
12,37,8.33
12,38,2.78
12,39,5.56
12,40,3.57
12,41,4.55
12,42,6.25
12,43,2
12,44,7.14
12,45,2.63
12,46,2.27
12,47,2.94
12,48,4.17
12,49,2.94
12,50,3.13
13,1,2.08
13,2,2.17
13,3,2.38
13,4,4.17
13,5,2.94
13,6,2.27
13,7,6.25
13,8,6.25
13,9,4.55
13,10,3.57
13,11,2.08
13,12,2.63
13,13,3.13
13,14,6.25
13,15,2.38
13,16,2.78
13,17,2.5
13,18,4.55
13,19,3.33
13,20,2.38
13,21,2
13,22,3.85
13,23,2.38
13,24,3.85
13,25,2.63
13,26,5.56
13,27,4.17
13,28,3.13
13,29,3.33
13,30,8.33
13,31,2.27
13,32,4.17
13,33,2.94
13,34,2.78
13,35,2.63
13,36,2.17
13,37,4.55
13,38,2.63
13,39,3.33
13,40,2
13,41,2
13,42,4.17
13,43,7.14
13,44,2.27
13,45,2.08
13,46,2.78
13,47,3.57
13,48,5
13,49,2.38
13,50,6.25
14,1,3.13
14,2,2.38
14,3,8.33
14,4,5
14,5,5.56
14,6,2.63
14,7,5.56
14,8,2.5
14,9,2.08
14,10,5.56
14,11,5
14,12,3.13
14,13,2.78
14,14,8.33
14,15,2.5
14,16,5
14,17,8.33
14,18,3.33
14,19,2.27
14,20,4.17
14,21,2.08
14,22,5.56
14,23,8.33
14,24,6.25
14,25,2.38
14,26,4.17
14,27,2.78
14,28,2.94
14,29,3.57
14,30,2.27
14,31,4.55
14,32,3.57
14,33,2.94
14,34,2.94
14,35,2.08
14,36,8.33
14,37,2.38
14,38,2.38
14,39,2.08
14,40,8.33
14,41,2.17
14,42,2
14,43,4.55
14,44,6.25
14,45,2.78
14,46,3.13
14,47,3.33
14,48,2.27
14,49,2.5
14,50,4.55
15,1,3.33
15,2,10
15,3,6.25
15,4,8.33
15,5,2.94
15,6,3.85
15,7,2.5
15,8,2.38
15,9,2.78
15,10,2.08
15,11,2.78
15,12,2.78
15,13,4.55
15,14,2.5
15,15,2.38
15,16,3.13
15,17,2.5
15,18,7.14
15,19,2.5
15,20,4.17
15,21,6.25
15,22,2.78
15,23,4.55
15,24,2.08
15,25,3.57
15,26,10
15,27,6.25
15,28,2.94
15,29,2.27
15,30,2.08
15,31,3.85
15,32,3.13
15,33,8.33
15,34,8.33
15,35,8.33
15,36,3.85
15,37,2.5
15,38,3.57
15,39,4.55
15,40,2.5
15,41,3.57
15,42,7.14
15,43,5.56
15,44,8.33
15,45,3.85
15,46,2.78
15,47,4.17
15,48,2.38
15,49,3.13
15,50,2
16,1,2.27
16,2,2.27
16,3,5
16,4,10
16,5,4.17
16,6,2.63
16,7,2.63
16,8,5.56
16,9,4.55
16,10,3.57
16,11,5.56
16,12,2.17
16,13,5
16,14,2.27
16,15,10
16,16,3.85
16,17,8.33
16,18,2.94
16,19,2.78
16,20,4.17
16,21,2.08
16,22,2.63
16,23,6.25
16,24,2.63
16,25,5.56
16,26,2.27
16,27,2
16,28,4.55
16,29,2.5
16,30,5
16,31,3.13
16,32,2.63
16,33,5.56
16,34,3.57
16,35,3.13
16,36,4.17
16,37,7.14
16,38,2.08
16,39,2.78
16,40,7.14
16,41,2
16,42,2.63
16,43,3.33
16,44,2.78
16,45,10
16,46,4.55
16,47,3.85
16,48,5
16,49,3.13
16,50,5.56
17,1,2.17
17,2,3.85
17,3,2.5
17,4,5.56
17,5,3.33
17,6,5
17,7,2
17,8,3.13
17,9,6.25
17,10,2.63
17,11,7.14
17,12,2.94
17,13,3.85
17,14,4.55
17,15,6.25
17,16,2.08
17,17,2.08
17,18,4.17
17,19,5.56
17,20,2
17,21,2.17
17,22,3.85
17,23,2.08
17,24,6.25
17,25,2.08
17,26,3.13
17,27,6.25
17,28,3.13
17,29,2.5
17,30,6.25
17,31,6.25
17,32,5
17,33,2.08
17,34,2
17,35,8.33
17,36,2.17
17,37,3.13
17,38,2
17,39,5.56
17,40,2.94
17,41,2.63
17,42,7.14
17,43,7.14
17,44,3.85
17,45,2.38
17,46,2
