market,mu,sd
1,9533,2398
2,5919,1136
3,7452,1470
4,7241,2120
5,6302,1839
6,7532,1687
7,5017,972
8,7789,1200
9,5215,1077
10,6181,1291
11,7633,1145
12,8653,1593
13,8995,1842
14,5672,1077
15,5920,776
16,6141,1287
17,6649,809
18,6536,1511
19,6096,699
20,9922,2399
21,7838,818
22,8461,1691
23,6251,1826
24,6413,1309
25,5979,1279
26,9863,1257
27,8096,1283
28,7332,896
29,7298,1963
30,8907,2483
31,8153,2263
32,8000,1905
33,9301,1030
34,7106,1107
35,6630,1912
36,8269,1072
37,7870,1547
38,8749,1065
39,6091,694
40,7996,1767
41,7243,1112
42,5918,1314
43,5972,642
44,9782,1491
45,9839,2029
46,6481,1589
47,9073,2473
48,9260,1598
49,6957,1746
50,8154,2084
