plant,market,cost
1,1,3.57
1,2,8.33
1,3,2.78
1,4,3.33
1,5,2.94
1,6,7.14
1,7,3.13
1,8,6.25
1,9,5
1,10,2.94
1,11,2.17
1,12,3.85
1,13,4.17
1,14,2.94
1,15,4.17
1,16,3.33
1,17,4.17
1,18,7.14
1,19,6.25
1,20,3.57
1,21,6.25
1,22,2.78
1,23,2.27
1,24,2.27
1,25,5.56
1,26,2.08
1,27,2.5
1,28,2.17
1,29,4.17
1,30,5.56
1,31,2.63
1,32,10
1,33,2.5
1,34,4.55
1,35,2.38
1,36,2.78
1,37,2.5
1,38,7.14
1,39,10
1,40,3.57
1,41,3.33
1,42,7.14
1,43,4.55
1,44,5.56
1,45,8.33
1,46,2.63
1,47,2.94
1,48,2
1,49,2.78
1,50,4.55
2,1,3.57
2,2,2.5
2,3,3.85
2,4,2
2,5,2
2,6,2.5
2,7,2.63
2,8,3.57
2,9,4.17
2,10,3.13
2,11,2.5
2,12,2.27
2,13,5.56
2,14,2.63
2,15,3.13
2,16,2.38
2,17,2
2,18,2.27
2,19,2.5
2,20,10
2,21,2.08
2,22,2.38
2,23,3.57
2,24,4.17
2,25,2
2,26,2.08
2,27,2.5
2,28,5
2,29,2.94
2,30,2.63
2,31,3.85
2,32,3.85
2,33,2.5
2,34,2.17
2,35,4.55
2,36,3.57
2,37,5
2,38,2.63
2,39,2.08
2,40,6.25
2,41,2
2,42,7.14
2,43,3.85
2,44,3.33
2,45,3.57
2,46,5
2,47,8.33
2,48,8.33
2,49,3.13
2,50,5
3,1,4.55
3,2,2.5
3,3,2.78
3,4,3.13
3,5,2.27
3,6,4.17
3,7,3.57
3,8,6.25
3,9,3.85
3,10,2.38
3,11,3.13
3,12,2.17
3,13,10
3,14,7.14
3,15,3.33
3,16,5.56
3,17,2
3,18,6.25
3,19,3.57
3,20,7.14
3,21,4.55
3,22,3.13
3,23,10
3,24,3.85
3,25,2
3,26,2.27
3,27,4.17
3,28,2.94
3,29,2.94
3,30,2.17
3,31,7.14
3,32,2.08
3,33,2.94
3,34,4.17
3,35,3.13
3,36,2.27
3,37,2.63
3,38,3.33
3,39,4.55
3,40,3.85
3,41,2
3,42,2.27
3,43,4.17
3,44,2.78
3,45,2.38
3,46,3.33
