market,mu,sd
1,6947,1553
2,8312,1113
3,5769,1196
4,5779,1305
5,5619,965
6,8765,1027
7,9726,2808
8,6593,689
9,6510,1925
10,8799,2238
11,9523,1978
12,5535,713
13,6229,1498
14,9333,1402
15,7677,1822
16,5722,951
17,8680,1272
18,5731,1716
19,6222,1814
20,8157,1064
21,5626,584
22,5101,1515
23,5524,607
24,9450,2133
25,6580,1600
26,9283,1419
27,6545,1649
28,9945,2363
29,9509,1195
30,5573,1387
31,7837,2191
32,5228,653
33,8938,2059
34,7305,1116
35,8446,1222
36,7889,1063
37,7731,2309
38,5939,728
39,5824,1524
40,7168,2124
41,5551,892
42,6482,1346
43,9985,1899
44,6729,1231
45,8560,1357
46,9041,975
47,9187,1306
48,9957,2810
49,5984,1460
50,8581,1306
51,7285,1190
52,5156,1321
53,8321,1162
54,9688,2358
55,6748,1548
56,5096,1313
57,8771,1186
58,7590,1994
59,6003,632
60,5948,1441
61,7891,1525
62,6037,1800
63,6670,990
64,9000,2618
65,8921,2357
66,7535,1926
67,9256,1542
68,6411,1330
69,5296,688
70,9702,2048
71,6060,825
72,8389,1173
73,7684,1263
74,9700,2357
75,5719,1060
76,9097,1020
77,5179,878
78,6475,675
79,5215,1071
80,9664,2781
81,8762,1650
82,8568,1683
83,6468,1439
84,8063,1252
85,7375,1065
86,9617,2090
87,7281,1151
88,9321,1870
89,7550,825
90,6856,1084
91,9708,1096
92,6906,2058
93,7818,2295
94,5777,900
95,8134,1798
96,8467,2103
97,9246,1767
98,5788,1206
99,8831,1271
100,7203,1601
