plant,fixed_cost,auxiliary_flag
1,1280087,0
2,780572,0
3,1941590,0
4,2376608,0
5,2009239,0
6,407730,1
7,247264,0
8,1084661,0
9,235956,0
10,2188073,0
11,88579,0
12,1182732,0
13,1518858,0
14,1908113,0
15,1958823,0
16,877265,0
17,870104,0
18,226721,1
19,485258,0
20,182770,0
21,1466243,0
22,523777,0
23,1257125,0
24,1374677,0
25,826570,0
26,1324040,0
27,405322,1
28,475440,0
29,1209558,0
30,674540,1
31,724161,0
32,1601767,0
33,1646886,0
34,696535,0
35,1186492,0
36,2209463,0
37,1913436,0
38,833842,0
39,1839613,0
40,1295317,0
41,1624616,0
42,518785,0
43,606010,0
44,602992,0
45,1845381,0
46,824776,0
47,1262296,0
48,884314,0
49,1363030,0
50,1550573,0
