plant,capacity
1,724886
2,156488
3,487254
4,511272
5,102983
6,692520
7,155088
8,67673
9,243184
10,96674
11,333041
12,249600
13,51467
14,624236
15,240506
16,221963
17,391841
18,430967
19,447743
20,464175
21,523815
22,443067
23,634789
24,323102
25,17906
26,536390
27,284163
28,371526
29,590054
30,60330
31,506014
32,637652
33,54690
34,582122
35,736170
36,301817
37,240174
38,630143
39,260172
40,483657
41,728888
42,663156
43,324011
44,228540
45,742095
46,593946
47,422740
48,140795
49,179471
50,328026
