market,mu,sd
1,5676,1696
2,7561,1632
3,5688,760
4,7723,1507
5,8259,2373
6,7739,1236
7,8495,1138
8,6151,1692
9,5864,1643
10,6585,975
11,8050,1334
12,6750,693
13,7704,1011
14,8914,1802
15,5410,1522
16,6944,1974
17,5107,1473
18,5185,964
19,7347,1756
20,9655,2281
21,7514,1604
22,9597,2332
23,8628,2186
24,5826,1485
25,5135,785
26,5159,1279
27,6190,921
28,6006,918
29,9314,2361
30,7937,2036
31,9718,1503
32,7546,1433
33,8120,2200
34,6487,1376
35,5893,802
36,7284,1177
37,9845,2930
38,6530,1831
39,9697,1320
40,5690,1362
41,5308,831
42,5484,1092
43,6667,1354
44,9211,1930
45,5531,1650
46,8072,1376
47,8311,1612
48,8125,1097
49,6467,1140
50,8862,1648
51,8129,2124
52,7476,1094
53,8280,1748
54,8626,2251
55,7267,1978
56,6811,877
57,9552,1056
58,9892,2101
59,8479,1013
60,7798,1982
61,8303,861
62,8069,2207
63,6979,1595
64,9769,1089
65,6572,1772
66,7991,2269
67,6900,1023
68,6361,1280
69,8037,1751
70,6541,1509
71,8466,1595
72,5868,1180
73,5796,625
74,9517,1433
75,7726,1834
76,7157,2088
77,8514,2527
78,8857,1427
79,6322,1280
80,6992,1669
81,8935,1969
82,8286,1764
83,9116,2191
84,7246,2057
85,5400,840
86,8916,2371
87,9840,2563
88,7446,893
89,8160,1714
90,9535,1570
91,7021,893
92,8452,2308
93,6565,837
94,9226,1676
95,8441,2527
96,5654,643
97,7838,2129
98,7932,1410
99,8796,2050
100,6640,1125
