plant,fixed_cost,auxiliary_flag
1,2004532,0
2,411878,0
3,1222690,0
4,1365656,0
5,265349,0
6,1440023,0
7,465024,0
8,208740,0
9,841986,0
10,315652,0
11,870516,0
12,830206,0
13,145942,1
14,1833639,0
15,897758,0
16,616738,0
17,837970,0
18,867662,0
19,1565516,0
20,1792472,0
21,2018819,0
22,905864,0
23,1651713,0
24,839370,0
25,63971,1
26,1358385,0
27,742079,0
28,1072093,0
29,1943501,0
30,140027,1
31,1859490,0
32,1699184,0
33,192531,0
34,1925530,0
35,1646820,0
36,919940,0
37,785740,0
38,2371006,0
39,551970,1
40,1103322,0
41,1457312,0
42,1592893,0
43,962798,0
44,543795,1
45,2531445,0
46,1804882,0
47,951224,0
48,350223,1
49,588745,0
50,1026154,0
