plant,market,cost
1,1,2.94
1,2,2.27
1,3,2.17
1,4,4.55
1,5,2.17
1,6,4.55
1,7,6.25
1,8,2.63
1,9,3.85
1,10,2.08
1,11,7.14
1,12,2.17
1,13,10
1,14,3.13
1,15,2.08
1,16,10
1,17,2.94
1,18,3.33
1,19,2
1,20,2.94
1,21,7.14
1,22,5.56
1,23,10
1,24,7.14
1,25,2
1,26,4.17
1,27,3.33
1,28,8.33
1,29,5.56
1,30,3.85
1,31,3.13
1,32,4.55
1,33,2.27
1,34,10
1,35,3.85
1,36,6.25
1,37,2
1,38,3.57
1,39,2.08
1,40,2.38
1,41,2.5
1,42,7.14
1,43,2.63
1,44,2.78
1,45,2.5
1,46,2.27
1,47,2.38
1,48,4.17
1,49,2.38
1,50,4.55
1,51,5
1,52,3.57
1,53,4.55
1,54,2.78
1,55,7.14
1,56,5.56
1,57,2.5
1,58,7.14
1,59,2.38
1,60,7.14
1,61,6.25
1,62,2.08
1,63,4.55
1,64,6.25
1,65,2
1,66,4.17
1,67,2.38
1,68,5
1,69,4.17
1,70,2.08
1,71,3.85
1,72,2.63
1,73,7.14
1,74,6.25
1,75,8.33
1,76,3.13
1,77,3.33
1,78,7.14
1,79,2.94
1,80,10
1,81,3.13
1,82,2.08
1,83,2.08
1,84,2.94
1,85,5
1,86,4.55
1,87,2.38
1,88,4.55
1,89,10
1,90,8.33
1,91,2.27
1,92,3.85
1,93,7.14
1,94,2.17
1,95,2.08
1,96,2
1,97,2.5
1,98,3.33
1,99,10
1,100,3.57
2,1,2.5
2,2,5.56
2,3,2.27
2,4,4.55
2,5,3.85
2,6,8.33
2,7,5.56
2,8,2.5
2,9,3.57
2,10,2.27
2,11,2.08
2,12,10
2,13,3.57
2,14,2.38
2,15,2.17
2,16,2.5
2,17,10
2,18,10
2,19,2.38
2,20,3.57
2,21,2.08
2,22,5
2,23,5.56
2,24,2.38
2,25,3.57
2,26,7.14
2,27,2
2,28,2.94
2,29,2.08
2,30,3.85
2,31,7.14
2,32,2.27
2,33,6.25
2,34,6.25
2,35,2.17
2,36,3.33
2,37,10
2,38,4.55
2,39,2.38
2,40,2.08
2,41,3.85
2,42,4.17
2,43,2.38
2,44,2.94
2,45,3.13
2,46,2
2,47,5
2,48,2.94
2,49,2.27
2,50,2.08
2,51,3.57
2,52,3.85
2,53,8.33
2,54,5.56
2,55,4.17
2,56,5.56
2,57,2.63
2,58,6.25
2,59,2.78
2,60,2.78
2,61,2.78
2,62,5.56
2,63,2.27
2,64,3.85
2,65,2
2,66,4.55
2,67,2.78
2,68,5.56
2,69,10
2,70,3.57
2,71,6.25
2,72,4.55
2,73,2.17
2,74,5.56
2,75,5.56
2,76,3.13
2,77,2.17
2,78,2.63
2,79,7.14
2,80,3.85
2,81,6.25
2,82,2.27
2,83,10
2,84,2.63
2,85,7.14
2,86,5.56
2,87,8.33
2,88,2.38
2,89,3.57
2,90,8.33
2,91,2.94
2,92,3.85
2,93,3.57
2,94,3.57
2,95,6.25
2,96,2.78
2,97,2.08
2,98,2.5
2,99,6.25
2,100,5.56
3,1,2.38
3,2,3.13
3,3,4.55
3,4,2
3,5,2
3,6,2.17
3,7,3.57
3,8,4.55
3,9,2.17
3,10,2.17
3,11,4.55
3,12,4.55
3,13,3.33
3,14,3.57
3,15,2.63
3,16,2.78
3,17,5
3,18,8.33
3,19,2.78
3,20,7.14
3,21,10
3,22,2.27
3,23,8.33
3,24,3.13
3,25,6.25
3,26,2.17
3,27,6.25
3,28,5
3,29,2.5
3,30,3.57
3,31,10
3,32,8.33
3,33,4.17
3,34,4.17
3,35,2.38
3,36,2
3,37,2.5
3,38,2.94
3,39,2.5
3,40,2.38
3,41,4.17
3,42,6.25
3,43,5.56
3,44,5
3,45,2.5
3,46,2.94
3,47,3.33
3,48,2.5
3,49,5
3,50,4.55
3,51,7.14
3,52,3.85
3,53,2.5
3,54,2.27
3,55,10
3,56,2.5
3,57,4.55
3,58,7.14
3,59,3.85
3,60,2.38
3,61,2.27
3,62,4.55
3,63,2.38
3,64,4.17
3,65,10
3,66,3.85
3,67,2.5
3,68,2.5
3,69,3.13
3,70,6.25
3,71,3.13
3,72,2.17
3,73,2.94
3,74,4.17
3,75,5.56
3,76,3.57
3,77,8.33
3,78,4.55
3,79,6.25
3,80,3.57
3,81,2.27
3,82,3.33
3,83,6.25
3,84,2.27
3,85,4.17
3,86,3.85
3,87,6.25
3,88,2.63
3,89,2.38
3,90,4.55
3,91,7.14
3,92,4.17
3,93,2.17
3,94,2
3,95,2.38
3,96,2.94
3,97,6.25
3,98,6.25
3,99,5.56
3,100,2.78
4,1,8.33
4,2,6.25
4,3,2.63
4,4,2.17
4,5,5
4,6,2.08
4,7,2.94
4,8,3.33
4,9,5.56
4,10,2
4,11,8.33
4,12,2.27
4,13,2.94
4,14,10
4,15,10
4,16,3.13
4,17,8.33
4,18,2.5
4,19,2
4,20,6.25
4,21,2.78
4,22,3.33
4,23,3.57
4,24,2.63
4,25,2.38
4,26,6.25
4,27,3.13
4,28,8.33
4,29,10
4,30,7.14
4,31,10
4,32,5.56
4,33,2.17
4,34,7.14
4,35,4.17
4,36,3.13
4,37,7.14
4,38,3.13
4,39,2.5
4,40,3.13
4,41,10
4,42,2
4,43,3.57
4,44,5.56
4,45,7.14
4,46,7.14
4,47,2.08
4,48,2.27
4,49,3.85
4,50,3.13
4,51,8.33
4,52,2.17
4,53,6.25
4,54,4.55
4,55,2.17
4,56,2.08
4,57,2
4,58,2
4,59,3.85
4,60,3.85
4,61,5
4,62,8.33
4,63,2.27
4,64,2.08
4,65,2.63
4,66,3.85
4,67,2.38
4,68,3.33
4,69,2.27
4,70,2.94
4,71,2.38
4,72,3.85
4,73,2.38
4,74,3.33
4,75,3.57
4,76,6.25
4,77,7.14
4,78,5.56
4,79,6.25
4,80,2.27
4,81,10
4,82,2
4,83,2.08
4,84,2.08
4,85,3.57
4,86,2.63
4,87,7.14
4,88,2.17
4,89,7.14
4,90,2.5
4,91,5.56
4,92,3.13
4,93,3.57
4,94,2.5
4,95,2.38
4,96,7.14
4,97,2.38
4,98,2.94
4,99,3.33
4,100,2.08
5,1,2.63
5,2,4.17
5,3,6.25
5,4,7.14
5,5,2.94
5,6,3.85
5,7,2.63
5,8,5
5,9,2.08
5,10,10
5,11,2
5,12,2
5,13,3.13
5,14,7.14
5,15,4.17
5,16,2.94
5,17,2.08
5,18,5
5,19,3.13
5,20,3.85
5,21,5.56
5,22,5
5,23,2.08
5,24,2.27
5,25,5.56
5,26,5
5,27,2.17
5,28,3.13
5,29,2
5,30,2.17
5,31,3.85
5,32,5.56
5,33,2.08
5,34,8.33
5,35,2.38
5,36,7.14
5,37,2.38
5,38,2.27
5,39,4.17
5,40,2
5,41,2.5
5,42,2.08
5,43,7.14
5,44,7.14
5,45,4.55
5,46,8.33
5,47,2.38
5,48,2.38
5,49,2.08
5,50,2.38
5,51,4.17
5,52,3.57
5,53,2.5
5,54,10
5,55,7.14
5,56,3.33
5,57,4.55
5,58,2.27
5,59,3.85
5,60,2.27
5,61,2.08
5,62,3.13
5,63,3.33
5,64,2.08
5,65,10
5,66,3.13
5,67,7.14
5,68,5
5,69,2.27
5,70,7.14
5,71,6.25
5,72,3.13
5,73,2.38
5,74,5
5,75,3.85
5,76,2.5
5,77,3.33
5,78,5.56
5,79,2.27
5,80,7.14
5,81,2.08
5,82,5.56
5,83,2.27
5,84,2.5
5,85,7.14
5,86,2.63
5,87,7.14
5,88,7.14
5,89,4.55
5,90,5.56
5,91,4.55
5,92,10
5,93,6.25
5,94,2.5
5,95,2.78
5,96,7.14
5,97,2.5
5,98,3.57
5,99,2.17
5,100,3.85
6,1,5
6,2,6.25
6,3,3.85
6,4,4.17
6,5,2.08
6,6,2.78
6,7,4.17
6,8,2
6,9,3.57
6,10,4.17
6,11,7.14
6,12,2
6,13,4.55
6,14,2.78
6,15,2.08
6,16,6.25
6,17,4.55
6,18,3.33
6,19,2.63
6,20,8.33
6,21,3.33
6,22,2.27
6,23,2.17
6,24,3.13
