market,mu,sd
1,6809,1421
2,5664,994
3,9786,2833
4,7684,1043
5,5109,1308
6,9056,2390
7,5358,1047
8,5858,1721
9,8190,981
10,9526,2817
11,8333,2216
12,7601,1210
13,7379,2129
14,9997,1316
15,5813,1340
16,6080,1592
17,6513,1185
18,8510,1220
19,7252,1035
20,7942,2303
21,7798,1807
22,5782,1284
23,7741,1964
24,7221,1977
25,9411,1964
26,7369,1382
27,6014,690
28,8927,1164
29,9699,2803
30,9545,2700
31,7202,1280
32,8674,1253
33,7299,2011
34,7918,1148
35,7324,1512
36,6443,1771
37,9203,1382
38,8380,1833
39,7059,978
40,9038,1572
41,6222,1080
42,9712,1287
43,7572,1774
44,8860,1507
45,8736,1107
46,7991,1780
47,6975,737
48,7393,1862
49,7547,2141
50,9570,1810
51,7032,810
52,9878,2229
53,5493,977
54,8513,1516
55,5049,1094
56,7365,1972
57,6146,720
58,5232,582
59,6500,1613
60,8060,1314
61,5516,1330
62,7068,1996
63,5025,604
64,6474,800
65,7108,840
66,7287,1779
67,7174,1618
68,5655,569
69,8809,2213
70,8430,857
71,5644,884
72,9693,1953
73,6116,730
74,9665,2360
75,6887,1583
76,8261,1717
77,6124,973
78,6639,865
79,6486,776
80,8858,1651
81,8593,2229
82,5610,1014
83,7255,1117
84,8092,1526
85,6143,1049
86,5687,1676
87,8136,1729
88,5904,1246
89,8814,939
90,9400,2042
91,5041,1028
92,9535,2805
93,5477,1410
94,6017,1654
95,8582,1010
96,6883,1437
97,7849,1201
98,5346,1215
99,9573,1313
100,5928,1509
