plant,fixed_cost,auxiliary_flag
1,1189171,0
2,1310799,0
3,775467,0
4,1094728,0
5,1892538,0
6,1458330,0
7,1377279,0
8,863647,0
9,1121040,0
10,1224391,0
11,1900346,0
12,1386261,0
13,1568097,0
14,115165,1
15,1697212,0
16,216418,0
17,1910614,0
18,27091,1
19,1268468,0
20,2180055,0
21,1627367,0
22,826273,0
23,1325288,0
24,1042758,0
25,45806,1
26,1762322,0
27,1899174,0
28,25059,1
29,686992,0
30,1337831,0
31,1000261,0
32,561860,0
33,18511,1
34,1154012,0
35,1623298,0
36,584510,0
37,830047,1
38,732243,0
39,778330,0
40,2488051,0
41,2084639,0
42,2218606,0
43,513558,1
44,45855,1
45,460418,0
46,1142904,0
47,390550,0
48,2135957,0
49,1197683,0
50,726614,0
