plant,market,cost
1,1,2.94
1,2,2.27
1,3,3.13
1,4,4.55
1,5,10
1,6,10
1,7,2.63
1,8,10
1,9,5.56
1,10,2.38
1,11,6.25
1,12,2.27
1,13,2.5
1,14,2.27
1,15,5.56
1,16,2.17
1,17,5.56
1,18,5.56
1,19,5
1,20,2.78
1,21,2.78
1,22,2.38
1,23,3.85
1,24,2.08
1,25,3.33
1,26,2.63
1,27,10
1,28,2.63
1,29,3.85
1,30,2
1,31,4.17
1,32,7.14
1,33,5
1,34,6.25
1,35,3.33
1,36,3.33
1,37,6.25
1,38,3.57
1,39,3.13
1,40,10
1,41,3.33
1,42,3.57
1,43,4.17
1,44,8.33
1,45,2.78
1,46,8.33
1,47,2.63
1,48,2
1,49,2.63
1,50,7.14
1,51,2.08
1,52,2.17
1,53,4.55
1,54,4.17
1,55,7.14
1,56,8.33
1,57,2.08
1,58,2.94
1,59,2.78
1,60,2.78
1,61,2.78
1,62,2.94
1,63,3.13
1,64,2.38
1,65,5
1,66,7.14
1,67,5
1,68,3.85
1,69,3.57
1,70,4.17
1,71,3.85
1,72,2.94
1,73,5.56
1,74,3.33
1,75,2.78
1,76,2.94
1,77,3.13
1,78,7.14
1,79,4.55
1,80,2
1,81,2.08
1,82,3.13
1,83,2.5
1,84,2.08
1,85,2.17
1,86,6.25
1,87,2.17
1,88,2.78
1,89,4.55
1,90,5
1,91,7.14
1,92,3.85
1,93,2
1,94,8.33
1,95,2.94
1,96,2.63
1,97,2.63
1,98,2.38
1,99,2.5
1,100,2.5
2,1,2.63
2,2,2.08
2,3,5.56
2,4,2.5
2,5,10
2,6,5.56
2,7,5
2,8,3.13
2,9,2.5
2,10,6.25
2,11,3.33
2,12,7.14
2,13,6.25
2,14,3.13
2,15,2.17
2,16,2.38
2,17,2.27
2,18,6.25
2,19,3.57
2,20,7.14
2,21,2.17
2,22,2
2,23,2.17
2,24,2.78
2,25,2.94
2,26,2.38
2,27,3.85
2,28,3.57
2,29,4.55
2,30,3.85
2,31,2.78
2,32,2.38
2,33,5.56
2,34,2.38
2,35,3.13
2,36,2.17
2,37,5.56
2,38,2.63
2,39,3.85
2,40,10
2,41,2.08
2,42,2.38
2,43,6.25
2,44,2.63
2,45,5.56
2,46,2.17
2,47,2.17
2,48,5.56
2,49,2.27
2,50,4.55
2,51,2.17
2,52,2
2,53,7.14
2,54,2.17
2,55,3.57
2,56,2
2,57,6.25
2,58,8.33
2,59,7.14
2,60,2.38
2,61,3.13
2,62,3.33
2,63,2
2,64,3.85
2,65,3.13
2,66,2.78
2,67,4.55
2,68,2.17
2,69,2.27
2,70,2.38
2,71,10
2,72,3.13
2,73,3.57
2,74,4.17
2,75,2.78
2,76,4.55
2,77,2.08
2,78,2.5
2,79,7.14
2,80,2.38
2,81,7.14
2,82,6.25
2,83,2
2,84,2.38
2,85,3.57
2,86,2.08
2,87,2.63
2,88,2.78
2,89,5
2,90,5.56
2,91,4.17
2,92,2.27
2,93,4.55
2,94,2.17
2,95,2.27
2,96,2.38
2,97,2.08
2,98,2.17
2,99,8.33
2,100,2.08
3,1,8.33
3,2,2.63
3,3,2.08
3,4,2
3,5,2.63
3,6,2.63
3,7,2
3,8,2.38
3,9,4.17
3,10,6.25
3,11,2.94
3,12,2.38
3,13,2.5
3,14,3.33
3,15,5
3,16,2.5
3,17,2.17
3,18,4.17
3,19,6.25
3,20,7.14
3,21,3.13
3,22,2.78
3,23,7.14
3,24,2.78
3,25,2.78
3,26,5.56
3,27,7.14
3,28,2.17
3,29,10
3,30,4.55
3,31,2.38
3,32,10
3,33,4.55
3,34,2
3,35,2.08
3,36,3.13
3,37,5.56
3,38,2.27
3,39,3.33
3,40,3.57
3,41,6.25
3,42,2.27
3,43,5
3,44,2.08
3,45,2.17
3,46,3.33
3,47,8.33
3,48,8.33
3,49,2.08
3,50,2.78
3,51,2.5
3,52,3.33
3,53,7.14
3,54,3.57
3,55,2.63
3,56,4.17
3,57,4.17
3,58,3.13
3,59,5.56
3,60,3.13
3,61,7.14
3,62,2.5
3,63,2.63
3,64,6.25
3,65,3.85
3,66,2.78
3,67,2.5
3,68,3.33
3,69,8.33
3,70,10
3,71,2.27
3,72,2.63
3,73,5
3,74,2.94
3,75,3.85
3,76,2.38
3,77,7.14
3,78,2.08
3,79,2.63
3,80,2.08
3,81,3.33
3,82,8.33
3,83,2
3,84,4.55
3,85,2.78
3,86,2.78
3,87,4.17
3,88,7.14
3,89,5
3,90,3.85
3,91,2.63
3,92,3.13
3,93,2.38
3,94,4.55
3,95,7.14
3,96,2.08
3,97,2.63
3,98,4.17
3,99,2.17
3,100,3.33
4,1,3.33
4,2,2.17
4,3,3.33
4,4,6.25
4,5,2.17
4,6,10
4,7,2.63
4,8,2.63
4,9,2.27
4,10,6.25
4,11,2.08
4,12,2.27
4,13,5.56
4,14,2.27
4,15,2.08
4,16,6.25
4,17,4.17
4,18,2.08
4,19,3.33
4,20,4.17
4,21,7.14
4,22,3.85
4,23,5.56
4,24,2.5
4,25,2.08
4,26,7.14
4,27,2.17
4,28,4.17
4,29,2.17
4,30,2.5
4,31,3.33
4,32,3.57
4,33,4.17
4,34,2.5
4,35,6.25
4,36,3.33
4,37,2.63
4,38,7.14
4,39,3.13
4,40,2.94
4,41,2.08
4,42,2.63
4,43,2
4,44,4.55
4,45,2.17
4,46,2.38
4,47,4.17
4,48,2.27
4,49,2.08
4,50,10
4,51,2.17
4,52,10
4,53,10
4,54,5.56
4,55,3.85
4,56,3.85
4,57,2.38
4,58,2
4,59,2
4,60,2.94
4,61,4.55
4,62,6.25
4,63,2.94
4,64,2
4,65,4.55
4,66,2.5
4,67,4.17
4,68,10
4,69,2.17
4,70,2.38
4,71,2
4,72,2.78
4,73,10
4,74,2.27
4,75,10
4,76,5
4,77,5.56
4,78,2.63
4,79,2.63
4,80,3.57
4,81,2.78
4,82,8.33
4,83,5
4,84,3.13
4,85,2.63
4,86,3.85
4,87,6.25
4,88,2.94
4,89,5
4,90,3.85
4,91,5
4,92,3.13
4,93,5
4,94,5
4,95,3.13
4,96,2.27
4,97,10
4,98,2.08
4,99,5
4,100,2.27
5,1,2.38
5,2,3.85
5,3,3.33
5,4,5.56
5,5,5
5,6,6.25
5,7,2.38
5,8,2
5,9,7.14
5,10,2.17
5,11,2.17
5,12,2.38
5,13,2.63
5,14,6.25
5,15,4.17
5,16,2
5,17,2.17
5,18,2.94
5,19,7.14
5,20,2.63
5,21,3.13
5,22,4.55
5,23,4.55
5,24,2.38
5,25,8.33
5,26,3.13
5,27,2.08
5,28,7.14
5,29,4.55
5,30,2.5
5,31,5.56
5,32,7.14
5,33,2.78
5,34,2.78
5,35,4.17
5,36,10
5,37,2.17
5,38,6.25
5,39,2
5,40,2.17
5,41,2.08
5,42,3.57
5,43,2.78
5,44,3.13
5,45,2.27
5,46,5.56
5,47,7.14
5,48,3.57
5,49,3.13
5,50,3.33
5,51,2.78
5,52,2.38
5,53,3.13
5,54,2.08
5,55,5
5,56,2.17
5,57,5.56
5,58,3.33
5,59,2.08
5,60,2.5
5,61,2.08
5,62,2
5,63,2.08
5,64,7.14
5,65,4.17
5,66,2.38
5,67,4.17
5,68,5
5,69,2.63
5,70,2.94
5,71,2.08
5,72,5.56
5,73,2.27
5,74,7.14
5,75,2.78
5,76,3.57
5,77,6.25
5,78,2.17
5,79,10
5,80,2
5,81,7.14
5,82,5.56
5,83,4.17
5,84,2.78
5,85,4.17
5,86,2
5,87,2.63
5,88,3.13
5,89,10
5,90,2.94
5,91,4.17
5,92,3.85
5,93,3.33
5,94,7.14
5,95,2.94
5,96,2.17
5,97,2.63
5,98,2.08
5,99,5.56
5,100,3.85
6,1,2.78
6,2,2.78
6,3,6.25
6,4,2.08
6,5,6.25
6,6,2.38
6,7,2.63
6,8,3.57
6,9,8.33
6,10,3.33
6,11,2.94
6,12,2.38
6,13,4.55
6,14,2
6,15,10
6,16,6.25
6,17,2
6,18,3.85
6,19,2.27
6,20,8.33
6,21,2.08
6,22,5.56
6,23,10
6,24,3.85
