plant,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8,market_9,market_10,market_11,market_12,market_13,market_14,market_15,market_16,market_17,market_18,market_19,market_20,market_21,market_22,market_23,market_24,market_25,market_26,market_27,market_28,market_29,market_30,market_31,market_32,market_33,market_34,market_35,market_36,market_37,market_38,market_39,market_40,market_41,market_42,market_43,market_44,market_45,market_46,market_47,market_48,market_49,market_50,market_51,market_52,market_53,market_54,market_55,market_56,market_57,market_58,market_59,market_60,market_61,market_62,market_63,market_64,market_65,market_66,market_67,market_68,market_69,market_70,market_71,market_72,market_73,market_74,market_75,market_76,market_77,market_78,market_79,market_80,market_81,market_82,market_83,market_84,market_85,market_86,market_87,market_88,market_89,market_90,market_91,market_92,market_93,market_94,market_95,market_96,market_97,market_98,market_99,market_100
1,2.94,2.27,3.13,4.55,10,10,2.63,10,5.56,2.38,6.25,2.27,2.5,2.27,5.56,2.17,5.56,5.56,5,2.78,2.78,2.38,3.85,2.08,3.33,2.63,10,2.63,3.85,2,4.17,7.14,5,6.25,3.33,3.33,6.25,3.57,3.13,10,3.33,3.57,4.17,8.33,2.78,8.33,2.63,2,2.63,7.14,2.08,2.17,4.55,4.17,7.14,8.33,2.08,2.94,2.78,2.78,2.78,2.94,3.13,2.38,5,7.14,5,3.85,3.57,4.17,3.85,2.94,5.56,3.33,2.78,2.94,3.13,7.14,4.55,2,2.08,3.13,2.5,2.08,2.17,6.25,2.17,2.78,4.55,5,7.14,3.85,2,8.33,2.94,2.63,2.63,2.38,2.5,2.5
2,2.63,2.08,5.56,2.5,10,5.56,5,3.13,2.5,6.25,3.33,7.14,6.25,3.13,2.17,2.38,2.27,6.25,3.57,7.14,2.17,2,2.17,2.78,2.94,2.38,3.85,3.57,4.55,3.85,2.78,2.38,5.56,2.38,3.13,2.17,5.56,2.63,3.85,10,2.08,2.38,6.25,2.63,5.56,2.17,2.17,5.56,2.27,4.55,2.17,2,7.14,2.17,3.57,2,6.25,8.33,7.14,2.38,3.13,3.33,2,3.85,3.13,2.78,4.55,2.17,2.27,2.38,10,3.13,3.57,4.17,2.78,4.55,2.08,2.5,7.14,2.38,7.14,6.25,2,2.38,3.57,2.08,2.63,2.78,5,5.56,4.17,2.27,4.55,2.17,2.27,2.38,2.08,2.17,8.33,2.08
3,8.33,2.63,2.08,2,2.63,2.63,2,2.38,4.17,6.25,2.94,2.38,2.5,3.33,5,2.5,2.17,4.17,6.25,7.14,3.13,2.78,7.14,2.78,2.78,5.56,7.14,2.17,10,4.55,2.38,10,4.55,2,2.08,3.13,5.56,2.27,3.33,3.57,6.25,2.27,5,2.08,2.17,3.33,8.33,8.33,2.08,2.78,2.5,3.33,7.14,3.57,2.63,4.17,4.17,3.13,5.56,3.13,7.14,2.5,2.63,6.25,3.85,2.78,2.5,3.33,8.33,10,2.27,2.63,5,2.94,3.85,2.38,7.14,2.08,2.63,2.08,3.33,8.33,2,4.55,2.78,2.78,4.17,7.14,5,3.85,2.63,3.13,2.38,4.55,7.14,2.08,2.63,4.17,2.17,3.33
4,3.33,2.17,3.33,6.25,2.17,10,2.63,2.63,2.27,6.25,2.08,2.27,5.56,2.27,2.08,6.25,4.17,2.08,3.33,4.17,7.14,3.85,5.56,2.5,2.08,7.14,2.17,4.17,2.17,2.5,3.33,3.57,4.17,2.5,6.25,3.33,2.63,7.14,3.13,2.94,2.08,2.63,2,4.55,2.17,2.38,4.17,2.27,2.08,10,2.17,10,10,5.56,3.85,3.85,2.38,2,2,2.94,4.55,6.25,2.94,2,4.55,2.5,4.17,10,2.17,2.38,2,2.78,10,2.27,10,5,5.56,2.63,2.63,3.57,2.78,8.33,5,3.13,2.63,3.85,6.25,2.94,5,3.85,5,3.13,5,5,3.13,2.27,10,2.08,5,2.27
5,2.38,3.85,3.33,5.56,5,6.25,2.38,2,7.14,2.17,2.17,2.38,2.63,6.25,4.17,2,2.17,2.94,7.14,2.63,3.13,4.55,4.55,2.38,8.33,3.13,2.08,7.14,4.55,2.5,5.56,7.14,2.78,2.78,4.17,10,2.17,6.25,2,2.17,2.08,3.57,2.78,3.13,2.27,5.56,7.14,3.57,3.13,3.33,2.78,2.38,3.13,2.08,5,2.17,5.56,3.33,2.08,2.5,2.08,2,2.08,7.14,4.17,2.38,4.17,5,2.63,2.94,2.08,5.56,2.27,7.14,2.78,3.57,6.25,2.17,10,2,7.14,5.56,4.17,2.78,4.17,2,2.63,3.13,10,2.94,4.17,3.85,3.33,7.14,2.94,2.17,2.63,2.08,5.56,3.85
6,2.78,2.78,6.25,2.08,6.25,2.38,2.63,3.57,8.33,3.33,2.94,2.38,4.55,2,10,6.25,2,3.85,2.27,8.33,2.08,5.56,10,3.85,3.13,2.27,5,7.14,5,2.38,2.27,10,4.17,5.56,2.08,2.63,4.17,2.63,2.08,4.17,3.85,2.17,2.63,5,2,5.56,2.17,2.94,2.63,3.13,4.55,2.27,3.57,2.27,3.33,4.17,8.33,5.56,8.33,4.17,4.17,2.78,3.33,3.13,3.57,3.33,4.55,3.33,2.78,6.25,2.63,3.13,3.85,6.25,2.5,4.55,2.94,2.94,3.57,2.38,3.33,5,2.5,8.33,2.5,6.25,7.14,6.25,4.17,4.17,5,2,3.85,2.78,3.57,2.94,2.78,8.33,5,2.17
7,2,3.13,4.55,2.17,3.85,2.27,6.25,3.33,2.78,6.25,2.94,3.33,7.14,5.56,3.13,2.63,3.33,4.17,10,3.57,6.25,7.14,2.5,4.17,2.63,5,7.14,6.25,2.27,2.27,2.08,2.5,2.94,4.17,2.63,3.85,7.14,2.94,2.17,5.56,2.38,5,3.13,3.33,2.78,10,4.55,2.27,2,2.27,2.38,2.5,8.33,4.17,3.33,5,2.5,2.94,3.57,2.63,6.25,2.38,3.33,3.57,2.27,10,2.78,6.25,4.17,2.17,2.08,2,2.94,2.38,6.25,2.63,4.17,6.25,7.14,2.78,5.56,3.13,2.94,4.55,2.78,2.94,3.57,2.27,2.63,8.33,2.63,5,2.94,2.63,3.57,4.17,2.63,2.78,5.56,7.14
8,6.25,2.5,3.57,10,10,2.38,8.33,3.57,5,5.56,3.33,2.17,6.25,3.57,8.33,2.38,2,3.85,3.85,2.78,2.63,5.56,8.33,3.33,6.25,5,2.94,3.33,2,2.63,4.17,2.27,3.85,6.25,3.33,7.14,3.85,4.55,3.33,2.17,2,2,10,2.38,2,4.17,7.14,2.27,3.13,3.13,2.94,5.56,2.5,2.38,2.27,6.25,2.08,3.13,3.57,3.85,4.55,10,4.55,2.27,10,2.17,2.94,2.38,2.27,3.57,2.38,8.33,2.5,5,2.94,5,2,2,3.85,10,5.56,3.33,3.85,2.78,2.63,7.14,5,2.63,10,5,2.17,2.17,2.5,3.13,8.33,3.57,5.56,3.85,2.5,3.57
9,4.55,6.25,5,3.33,7.14,5,6.25,2.5,2.38,2,3.13,2.63,2.94,5,2.94,2.78,10,2.27,3.57,2,3.13,3.85,3.85,3.57,2,4.17,3.33,7.14,2,8.33,2.63,2.17,4.55,2.63,8.33,3.13,2.63,10,2.27,3.13,3.13,2,6.25,2,2.63,2.17,7.14,4.55,2.63,3.13,2.78,3.85,3.85,4.55,2.38,2.94,3.33,2.17,3.13,2.63,2.17,2.17,4.17,7.14,2.27,3.85,2.38,2.78,3.57,6.25,2.27,2.27,10,2.63,3.85,3.13,6.25,2.08,2.38,3.13,2.08,8.33,2.63,4.55,2.17,7.14,2.5,4.17,7.14,7.14,5,3.85,3.13,3.13,10,2.17,2.78,2.78,8.33,4.17
10,5.56,3.57,6.25,5.56,3.13,4.55,10,4.55,3.33,3.85,2.27,2.17,8.33,2.27,2.17,2.63,2.78,8.33,2.27,3.33,8.33,8.33,7.14,2.78,2.5,2,5,3.33,5.56,8.33,2.17,2.78,10,3.33,3.57,3.57,2,2.08,8.33,3.85,4.55,10,2.27,2.63,2.78,6.25,2.27,2.63,4.17,6.25,3.57,3.33,3.13,2,2.38,2.78,2.38,2.17,7.14,10,3.33,2.5,2.27,2.63,5.56,2.78,2.5,2.78,2.17,3.33,3.13,3.57,2.63,5.56,4.17,6.25,6.25,2.08,2.63,2.63,10,2.08,3.85,10,4.17,2.78,2.38,10,2.5,4.55,2.78,2.5,3.33,4.55,10,2.08,5,2.94,3.85,8.33
11,2.08,2.38,2.38,7.14,2.94,2.94,10,4.17,8.33,2.08,4.17,2.17,5.56,3.33,5.56,4.17,3.57,2.94,3.13,2.78,2.27,4.55,2.17,2.5,2.27,2.08,2.78,4.17,3.85,5,2.27,3.13,3.57,2.17,2.17,3.13,8.33,3.13,2.5,2.5,2.17,7.14,2.27,3.13,6.25,2.78,7.14,2.27,2.08,2.08,6.25,2.38,2.38,2.5,2.17,4.55,3.57,4.55,7.14,2.38,5.56,3.85,4.55,2.08,7.14,5.56,6.25,2.08,3.33,2.63,10,5.56,6.25,5.56,2,2,2,2.5,5,2.94,2,2,2.94,5,4.55,2.27,2.94,7.14,2,5,10,3.57,2.63,2.17,2.38,10,2.38,7.14,2.63,8.33
12,2.27,2.38,8.33,8.33,4.55,2.63,2.38,2.78,8.33,3.33,2.17,2.08,5,2.38,3.33,2.38,2.38,2.38,2.38,2.94,3.85,3.13,3.57,3.57,10,2.78,2.94,2.17,6.25,4.17,3.57,3.13,5,8.33,2.78,2.17,2.5,2.27,4.55,2.78,7.14,2.08,4.17,2.38,5.56,2.08,5.56,3.13,2.63,4.55,4.17,4.55,2,3.33,3.85,6.25,5,5.56,6.25,2.38,2.08,3.85,4.17,2,6.25,2.38,8.33,2.17,2.94,3.57,2.5,2.08,5,2,2.38,2.27,5.56,4.55,2.08,2.08,3.57,3.33,2.63,10,4.17,2.63,2,4.55,5.56,7.14,4.17,2.27,6.25,3.85,4.55,2.38,5,2.5,3.33,6.25
13,10,7.14,2.27,10,3.13,2.27,10,2.78,10,2.5,4.17,2.38,5,7.14,4.55,2.38,3.33,8.33,2.63,2.08,2.17,3.57,2.08,3.33,2.17,2.5,2.08,2.08,6.25,8.33,5,3.13,2.38,4.55,2.17,3.57,6.25,5,2.17,3.13,2.94,2.08,3.13,4.55,6.25,2.94,2,4.17,4.17,2.08,2.38,4.55,7.14,2.08,7.14,2.63,4.17,8.33,2.27,3.13,10,3.13,2.17,6.25,2.08,6.25,4.55,2.08,2.27,2.5,5,2.17,5,2.08,7.14,7.14,3.13,3.85,3.13,5.56,5.56,2.17,2.78,3.13,7.14,5,4.17,2.38,2.17,3.85,3.57,2.78,7.14,10,2.08,8.33,2,2.63,10,3.33
14,2.08,4.55,2.38,3.33,5.56,10,2,2,5,3.57,3.85,6.25,2.08,7.14,5,3.33,7.14,2.27,2.27,3.57,2.27,3.13,2.38,2.27,2,8.33,4.55,5.56,3.85,4.55,8.33,3.85,7.14,2.17,3.13,3.33,6.25,3.33,2.5,7.14,3.13,2.38,3.33,2.17,5.56,3.85,2,4.55,5.56,8.33,2.63,2,10,2.5,2.17,2.78,2,2.08,3.33,7.14,5,3.13,3.85,5.56,2.5,2.63,4.17,6.25,3.13,2.78,3.13,3.57,4.55,3.85,7.14,2.94,6.25,2.38,2.63,2.78,10,2.63,2.5,2.17,2.78,2.08,3.57,2.94,5.56,5.56,3.13,2.78,2.94,4.55,8.33,8.33,3.33,8.33,3.57,2.38
15,4.55,2.17,4.55,8.33,7.14,2.27,3.85,2.63,2.08,4.17,2.38,3.33,2.94,3.33,4.17,5.56,2.78,6.25,3.33,2.27,5,4.17,2,2.27,2.17,6.25,3.57,4.55,5.56,6.25,5.56,5.56,7.14,2.38,4.17,3.13,3.57,5.56,3.85,5.56,6.25,2.5,10,3.13,3.13,8.33,2.38,2.38,2.17,2.27,8.33,6.25,2.5,10,3.85,6.25,3.85,7.14,3.57,2,2.78,5,4.17,2,6.25,2.78,5.56,2.38,3.57,3.57,2,2.5,3.33,10,2,6.25,2.38,3.57,3.85,6.25,3.33,8.33,2.78,6.25,7.14,2.38,4.17,2.78,3.33,3.57,2.63,3.33,2.5,8.33,2.5,2.78,5.56,3.33,5,8.33
16,5.56,3.57,2.27,4.55,2.08,2.5,5.56,2.63,5,5,2.38,7.14,3.13,5,2.27,2.08,2.08,2,10,2.08,8.33,2.17,4.55,2.63,3.13,3.57,2.08,6.25,8.33,8.33,5.56,2.17,3.33,5,5,10,10,4.55,4.17,6.25,5,3.33,2.27,2.27,7.14,2.08,2.08,2.08,2.63,3.13,4.55,2.94,2.63,2,3.85,5,3.33,2.63,2.63,2.08,2.78,3.57,8.33,2.08,4.17,2.38,5.56,3.33,3.57,4.17,2.08,7.14,3.85,4.55,4.55,4.17,2.5,3.13,3.57,3.57,5.56,5.56,7.14,2.94,2.78,4.17,4.17,3.33,5.56,2,2.17,7.14,5,6.25,4.17,2.5,2.5,2.63,2.78,2.08
17,6.25,2.27,3.57,3.13,6.25,8.33,2.5,2.38,3.85,3.33,2.17,2.17,2.63,6.25,3.85,2.78,2.38,2,2.38,4.55,5.56,2.5,8.33,2.94,10,2,7.14,7.14,7.14,4.55,3.85,2.08,2.27,2.5,4.55,2.27,10,6.25,3.13,2.27,2.27,4.17,2.5,5.56,2.78,2.17,2.63,2.08,2.63,6.25,5.56,3.85,5.56,2.08,4.55,2.5,3.33,3.13,2.63,4.55,3.85,8.33,10,5.56,6.25,2.94,3.85,3.57,2.17,2.27,2.08,5,5.56,2.38,2.94,2.63,4.55,2.08,2.27,5.56,2.08,4.55,2.78,2,8.33,3.85,2.5,2.08,10,3.85,3.33,4.17,2.94,7.14,2.63,6.25,3.13,2.63,2.17,4.55
18,2.78,2.38,4.17,10,4.55,2,5,4.55,2.5,10,7.14,2.78,4.17,5,3.57,5,2.17,5.56,2.27,8.33,2.27,2.78,10,2.38,4.55,5.56,2.63,2.5,2.78,2.17,10,3.33,5,3.57,3.57,8.33,5,3.85,2.94,4.55,2.78,3.85,2.08,3.85,2.94,10,4.17,2.08,7.14,10,2.78,3.33,2.17,4.17,5,2.27,5.56,2.17,8.33,5.56,4.55,3.57,5.56,6.25,2.78,8.33,3.85,2.27,3.85,5,3.33,7.14,2.63,2,7.14,3.85,3.85,2.94,10,7.14,8.33,2.17,2.78,3.13,3.13,5.56,2.08,8.33,2,2,7.14,4.17,5.56,2.63,2,2.78,3.33,2.38,2.63,10
19,4.55,3.85,4.55,2.27,4.55,3.13,7.14,3.33,4.17,2.38,4.17,6.25,4.55,10,6.25,6.25,2.78,6.25,2.17,3.13,4.17,7.14,5.56,2.5,2.08,2.63,2.17,2,4.17,2.63,2.78,2.63,5,2.5,2.17,2.5,8.33,8.33,7.14,3.85,2.78,5,3.57,3.57,10,2.27,2.08,7.14,10,2.27,3.33,2.08,10,5,2,2.38,5,5.56,2.5,3.33,4.17,2.08,2,10,4.17,8.33,2,7.14,10,6.25,2.17,3.85,2.08,8.33,6.25,2.08,3.57,5,2.27,2.94,2,7.14,2.78,7.14,2.94,2.08,2.27,3.33,2.94,3.57,4.55,6.25,2.94,2.17,10,3.57,3.85,8.33,3.57,7.14
20,2.94,2.17,2.08,3.57,3.57,2.78,2,10,2.08,2.5,4.17,6.25,2.27,2.08,2.94,2.27,5.56,2.08,3.85,2.94,2.94,2.78,3.57,5,2.5,10,3.57,2,2,2.78,2.94,4.55,3.33,7.14,4.55,2.27,2.38,3.85,3.33,5,3.85,6.25,3.57,2.27,10,6.25,6.25,2.27,6.25,8.33,7.14,2.17,2.38,2,4.17,5,4.55,2.08,2.78,3.13,7.14,2,5.56,3.33,3.57,2.5,3.85,2.94,8.33,4.55,2.27,2.63,2.78,2,3.85,4.55,2,2.78,4.55,2.78,4.55,5.56,3.85,5,2.63,3.13,4.17,3.13,2.78,10,7.14,2.27,2.5,3.33,4.55,3.33,2.78,2.08,3.57,7.14
